用途,成交日期,成交价格,受让单位
R2二类居住用地,2020-02-11,36000,京能置业股份有限公司
F2公建混合住宅用地,2020-02-11,297500,首金睿志（天津）置业发展有限公司
R2二类居住用地、A334托幼用地,2020-02-11,467000,北京润置商业运营管理有限公司和华通置业有限公司联合体
R2二类居住用地、A33基础教育用地,2020-01-23,278800,北京金隅程远房地产开发有限公司
R2二类居住用地、A33基础教育用地,2020-01-20,329000,北京海开房地产股份有限公司和北京建工地产有限责任公司联合体
R2二类居住用地,2020-01-20,467500,天津北方中茂置地有限公司
R2二类居住用地,2020-01-20,539600,北京海益嘉和置业有限公司
R2二类居住用地,2020-01-03,365000,深圳市海嘉投资有限公司
R2二类居住用地,2020-01-03,340000,厦门建益融房地产有限公司
工业用地,2019-12-25,6583.12869,国汽（北京）智能网联汽车研究院有限公司
工业用地,2019-12-25,1558.05408,北京中科九微科技有限公司
工业用地,2019-12-25,4412.06352,中芯北方集成电路制造（北京）有限公司
M1一类工业用地,2019-12-25,3118.97,北京费森尤斯卡比医药有限公司
工业用地,2019-12-25,2877.22746,国汽（北京）智能网联汽车研究院有限公司
R2二类居住用地,2019-12-16,434800,北京首钢二通建设投资有限公司
R2二类居住用地、S4社会停车场用地,2019-12-19,161000,北京科技园建设（集团）股份有限公司、北京京雁置业有限责任公司、北京北控城市开发有限公司和北京市长城伟业投资开发总公司联合体
B4综合性商业金融服务业用地,2019-12-12,230100,北京璟鑫达房地产开发有限公司
R2二类居住用地、A33基础教育用地、F3其他类多功能用地,2019-12-12,420000,北京骏祥企业管理咨询有限公司
B4综合性商业金融服务业用地、F3其他类多功能用地,2019-12-12,166700,北京璟鑫达房地产开发有限公司
R2二类居住用地,2019-12-05,260000,保利（北京）房地产开发有限公司和北京首都开发股份有限公司联合体
B4综合性商业金融服务业用地、B23研发设计用地,2019-12-02,660900,紫光集团有限公司、紫光股份有限公司、紫光国芯微电子股份有限公司和北京紫光科技服务集团有限公司联合体
M2工业用地,2019-11-28,3408.24,北京中安泰华科技有限公司
工业用地,2019-11-27,1651.54248,北京中金瑞丰环保科技有限公司
工业用地,2019-11-27,5349.54915,北京亦庄盛元投资开发有限公司
R2二类居住用地、F3其他类多功能用地、A33基础教育用地,2019-11-20,510000,中海企业发展集团有限公司和北京首钢房地产开发有限公司联合体
R2二类居住用地、A33基础教育用地,2019-11-18,85000,北京茂越企业管理有限公司
R2二类居住用地,2019-11-13,428150,招商局地产（北京）有限公司
R2二类居住用地,2019-11-13,307000,山西通建房地产开发有限公司
R2二类居住用地,2019-09-23,85861.1769,北京怀胜城市建设开发有限公司和北京怀胜青春广场置业有限公司联合体
F3其他类多功能用地,2019-10-17,97800,北京润置商业运营管理有限公司和北京首都开发股份有限公司联合体
R2居住用地及A334基础教育用地及S1城市道路用地,2019-10-15,443000,中国电建地产集团有限公司和京能置业股份有限公司联合体
R2二类居住用地、A33基础教育用地,2019-10-15,203000,北京融创恒基地产有限公司和北京昌政大道实业有限公司联合体
R2二类居住用地、A33基础教育用地,2019-10-15,332000,北京融玺企业管理服务有限公司、北京首都开发股份有限公司和北京通州投资发展有限公司联合体
