行政区,项目名称,项目位置,面积(公顷),土地用途,供地方式,土地使用年限,行业分类,成交价格(万元),土地使用权人,约定容积率,合同签订日期,约定开工时间,约定竣工时间,,,,
余姚市,千人计划余姚产业园千业路(千智路-魏家桥后横河）新建工程地块二,三七市镇魏家桥村,0.0822,城镇村道路用地,划拨,,城市公共交通业,43.4151,余姚市姚江科技投资开发有限公司,,2020年7月3日,2021年7月10日,2023年7月10日,,,,
宁海县,西店19-06地块项目,西店镇香联村,0.3108,工业用地,挂牌出让,50,金属制品业,118,宁海潮焕电器有限公司,1.102.00,2020年7月3日,2020年12月4日,2022年6月4日,,,,
奉化市,白杜南岙村城中村改造项目,西坞街道，北至南河规划绿化带、西至文苑路、南至文峰路、东至空地,2.6283,城镇住宅用地,划拨,,房地产业,1264.763,宁波市奉化区锦山河建设投资有限公司,1.002.20,2020年7月3日,2021年8月3日,2024年8月3日,,,,
余姚市,千业路（魏家桥后横河-庆丰路）新建工程,三七市镇魏家桥村,0.4041,城镇村道路用地,划拨,,城市公共交通业,165.4946,余姚市姚江科技投资开发有限公司,,2020年7月3日,2021年7月10日,2023年7月10日,,,,
宁海县,西店19-11地块项目,西店镇吉山村,6.651,其他商服用地,挂牌出让,40,商务服务业,4110,宁波哲圆教育科技有限公司,0.501.00,2020年7月3日,2021年6月4日,2023年6月4日,,,,
鄞州区,鄞州区JD13-06-20（火车东站-潘火地段）地块,鄞州区潘火街道童王村、小花园村,7.2883,城镇住宅用地,拍卖出让,70,房地产业,338039.1704,宁波茂枫企业管理咨询有限公司,1.303.40,2020年7月2日,2021年7月10日,2024年7月9日,,,,
慈溪市,观海卫镇工业东区东扩区块横一路工程,观海卫镇洞桥村,0.5748,城镇村道路用地,划拨,,道路运输业,158.4343,慈溪市观海卫镇人民政府,,2020年7月2日,2021年7月2日,2024年7月2日,,,,
慈溪市,龙山镇施公山村庄梳理式改造拆迁安置区块工程,施公山村,1.5016,城镇住宅用地,划拨,,国家机构,276.4917,慈溪市龙山镇人民政府,1.201.60,2020年7月2日,2021年7月2日,2024年7月2日,,,,
慈溪市,慈溪市龙山镇中心幼儿园扩建工程,西门外村,0.0779,教育用地,划拨,,教育业,7.0344,慈溪市龙山镇中心幼儿园,0.801.20,2020年7月2日,2021年7月2日,2024年7月2日,,,,
鄞州区,鄞州区金耀路加油站地块,鄞州区潘火街道童王村,0.2514,零售商业用地,拍卖出让,40,零售业,13356.882,中国石化销售股份有限公司浙江宁波石油分公司,0.5,2020年7月2日,2021年7月10日,2024年7月9日,,,,
