行政区,项目名称,项目位置,面积(公顷),土地用途,供地方式,土地使用年限,行业分类,成交价格(万元),土地使用权人,约定容积率,合同签订日期,约定开工时间,约定竣工时间,,
灵璧县,医疗用品制造,下楼镇火庙村104国道南侧,0.152,工业用地,挂牌出让,50,医药制造业,12.77,宿州市金朋医疗器械有限公司,1.001.00,2020年7月3日,2021年7月3日,2022年7月2日,,
萧县,许团结、许黄香,萧县龙城工交巷113号,0.03598,城镇住宅用地,协议出让,70,房地产业,53.1434,许团结、许黄香,1.421.42,2020年6月30日,,,,
宿州市本级,宿州市监所管理中心项目,安徽省宿州市埇桥区符离镇横口村,17.043659,监教场所用地,划拨,,国家机构,,宿州市公安局,0.6,2020年6月28日,2020年11月27日,2022年11月26日,,
砀山县,房地产,砀城镇东城社区,3.099918,城镇住宅用地,挂牌出让,70,房地产业,8602.278,砀山县金鼎城乡建设发展有限公司,1.002.00,2020年6月24日,2021年12月11日,2024年12月10日,,
砀山县,祖强塑料,经济开发区惠民社区,1.971278,工业用地,挂牌出让,50,制造业,236.5536,砀山县祖强塑料制品有限公司,1,2020年6月23日,2021年3月11日,2022年3月10日,,
砀山县,欧碧兰环保,高铁新区薛口村,0.6395,工业用地,挂牌出让,50,制造业,67.1475,安徽欧碧兰环保科技发展有限公司薛口分公司,1,2020年6月23日,2021年3月11日,2022年3月10日,,
砀山县,万华混凝土,官庄坝镇棉花原种场,1.7789,工业用地,挂牌出让,50,制造业,570,砀山万华混凝土有限公司,1,2020年6月23日,2021年3月11日,2022年3月10日,,
砀山县,宿州市砀山盐业有限公司,高铁新区新城社区,0.2,仓储用地,挂牌出让,50,批发和零售业,75,宿州市砀山盐业有限公司,1,2020年6月23日,2021年3月11日,2022年3月10日,,
砀山县,梨多宝生物科技,经济开发区古城社区,0.44664,工业用地,挂牌出让,50,制造业,53.596,安徽梨多宝生物科技股份有限公司,1,2020年6月23日,2021年3月11日,2022年3月10日,,
砀山县,海斯特建材,经济开发区古城社区,0.4123,工业用地,挂牌出让,50,制造业,49.4784,砀山海斯特建材有限公司,1,2020年6月23日,2021年3月11日,2022年3月10日,,
