编号,用途,省市,区县,宗地名称,宗地位置,出让年限 ,交易方式,起始价（万元）,成交价格（万元）,溢价率,成交年份,成交年月,成交时间,出让面积,出让面积,容积率,建筑面积,受让单位,母公司,所属集团公司,建设单位,设计单位,施工单位,监理单位,开工时间,建设用地规划许可证,建设工程规划许可证,竣工时间,全装修要求,装配式建筑比例（%）,单体预制率,约定开工时间,约定竣工时间
1,,徐州市,邳州市,学校 江苏省车辐中等职业学校,车辐山镇枣泗路东侧,,划拨,,,,2020,5,2020/5/26,8.960016,8960.016,2,,,,,,,,,,,,,,,,2020/10/1,2021/10/1
2,,徐州市,丰  县,丰县华山镇套楼中心幼儿园新建项目（2020-05-HB）,丰县华山镇电信分局东侧,,划拨,,,,2020,5,2020/5/6,,0,0.5,,,,,,,,,,,,,,,,2020/11/6,2021/11/5
3,,徐州市,铜山区,徐州田园110千伏输变电工程,刘集镇棉布村,,划拨,,,,2020,4,2020/4/23,0.4031,403.1,0.5,,,,,,,,,,,,,,,,2020/10/23,2023/10/23
4,,徐州市,铜山区,拾屯街道中心校,拾屯街道办事处杨东村,,划拨,,,,2020,3,2020/3/16,9.7732,9773.2,1,,,,,,,,,,,,,,,,2020/9/16,2023/9/16
5,,徐州市,新沂市,瓦窑大新幼儿园教学楼项目,新沂市瓦窑镇大新村瓦合路北侧,,划拨,,,,2020,3,2020/3/16,0.7464,746.4,0.65,,瓦窑镇中心小学,,,,,,,,,,,,,,2020/10/16,2021/10/16
6,,徐州市,丰  县,城镇燃气管道二期工程（华山镇天燃气调压站）济徐能源2019-29-HB,华山镇石楼村,,划拨,,,,2020,1,2020/1/14,0.27,270,1,,,,,,,,,,,,,,,,2020/5/15,2021/5/14
7,,徐州市,丰  县,城镇燃气管道二期工程（师寨镇调压站）济徐能源2019-30-HB,师寨镇张袁村,,划拨,,,,2020,1,2020/1/14,0.1941,194.1,1,,,,,,,,,,,,,,,,2020/5/15,2021/5/14
8,,徐州市,丰  县,城镇燃气管道二期工程（大沙河镇调压站）济徐能源2019-31-HB,大沙河镇岳庄村,,划拨,,,,2020,1,2020/1/14,0.7,700,1,,,,,,,,,,,,,,,,2020/5/15,2021/5/14
9,,徐州市,丰  县,城镇燃气管道二期工程（欢口镇天燃气设备区）济徐能源2019-32-HB,欢口镇丰鱼旧路西，纬九路南侧,,划拨,,,,2020,1,2020/1/14,0.05069,50.69,1,,,,,,,,,,,,,,,,2020/5/15,2021/5/14
10,,徐州市,泉山区,中国矿业大学文昌校区东门及围墙项目,泉山区金山东路南、津浦铁路西,,划拨,,,,2019,12,2019/12/6,1.272889,1272.889,1,,,,,,,,,,,,,,,,2020/6/6,2021/12/6
11,,徐州市,丰  县,丰县欢口中学（室内运动场馆）,丰县欢口中学院内,,划拨,,,,2019,11,2019/11/18,0.14512,145.12,0.5,,,,,,,,,,,,,,,,2020/6/18,2021/6/17
12,,徐州市,丰  县,人民路小学西扩新建教学楼及附属设施（2019-1-XSHB）,人民路小学老校区西侧,,划拨,,,,2019,11,2019/11/12,1.24765,1247.65,0.5,,,,,,,,,,,,,,,,2020/5/12,2021/5/11
13,,徐州市,丰  县,丰县博雅实验学校建设项目（二期）（2019-2-XSHB）,丰县西城路东、北环路南,,划拨,,,,2019,11,2019/11/12,1.66482,1664.82,0.5,,,,,,,,,,,,,,,,2020/5/12,2021/5/11
14,,徐州市,新沂市,新沂市草桥镇堰头幼儿园教学楼及附属工程,新沂市草桥镇堰头村,,划拨,,,,2019,6,2019/6/25,0.4039,403.9,1,,新沂市草桥镇人民政府,,,,,,,,,,,,,,2019/12/26,2020/12/26
15,,徐州市,新沂市,宿新高速公路北沟互通、马陵山互通连接线,唐店街道、马陵山镇,,划拨,,,,2019,6,2019/6/13,26.9582,26958.2,,,新沂市交通运输局,,,,,,,,,,,,,,2019/10/18,2020/10/18
16,,徐州市,丰  县,丰县开城建设工程有限公司（龙雾桥安置小区保障房项目）2019-12-HB,北环路南、东环路西,,划拨,,,,2019,6,2019/6/6,5.94216,5942.16,1,,丰县开城建设工程有限公司,,,,,,,,,,,,,,2020/3/6,2023/3/5
17,,徐州市,丰  县,丰县苏新新能源有限公司9.8MW光伏电站项目（2019-13-HB）,丰县王沟镇太行堤河西侧、张蒋河村东北部,,划拨,,,,2019,6,2019/6/4,0.02353,23.53,1,,丰县苏新新能源有限公司,,,,,,,,,,,,,,2019/8/4,2020/8/3
18,,徐州市,丰  县,丰县文体广电和旅游局（丰县文博园项目）2019-15-HB,南苑路北，丰邑大道西、通惠路南侧,,划拨,,,,2019,6,2019/6/4,6.78436,6784.36,0.5,,丰县文体广电和旅游局,,,,,,,,,,,,,,2019/12/4,2021/12/3
19,,徐州市,邳州市,学校 江苏省车辐中等职业学校,车辐山镇枣泗路东侧,,划拨,,,,2020,5,2020/5/26,8.960016,8960.016,2,,,,,,,,,,,,,,,,2020/10/1,2021/10/1
20,,徐州市,丰  县,丰县华山镇套楼中心幼儿园新建项目（2020-05-HB）,丰县华山镇电信分局东侧,,划拨,,,,2020,5,2020/5/6,0.74367,743.67,0.5,,,,,,,,,,,,,,,,2020/11/6,2021/11/5
21,,徐州市,铜山区,徐州田园110千伏输变电工程,刘集镇棉布村,,划拨,,,,2020,4,2020/4/23,0.4031,403.1,0.5,,,,,,,,,,,,,,,,2020/10/23,2023/10/23
22,,徐州市,铜山区,拾屯街道中心校,拾屯街道办事处杨东村,,划拨,,,,2020,3,2020/3/16,9.7732,9773.2,1,,,,,,,,,,,,,,,,2020/9/16,2023/9/16
23,,徐州市,新沂市,瓦窑大新幼儿园教学楼项目,新沂市瓦窑镇大新村瓦合路北侧,,划拨,,,,2020,3,2020/3/16,0.7464,746.4,0.65,,瓦窑镇中心小学,,,,,,,,,,,,,,2020/10/16,2021/10/16
24,,徐州市,丰  县,城镇燃气管道二期工程（华山镇天燃气调压站）济徐能源2019-29-HB,华山镇石楼村,,划拨,,,,2020,1,2020/1/14,0.27,270,1,,,,,,,,,,,,,,,,2020/5/15,2021/5/14
25,,徐州市,丰  县,城镇燃气管道二期工程（师寨镇调压站）济徐能源2019-30-HB,师寨镇张袁村,,划拨,,,,2020,1,2020/1/14,0.1941,194.1,1,,,,,,,,,,,,,,,,2020/5/15,2021/5/14
26,,徐州市,丰  县,城镇燃气管道二期工程（大沙河镇调压站）济徐能源2019-31-HB,大沙河镇岳庄村,,划拨,,,,2020,1,2020/1/14,0.7,700,1,,,,,,,,,,,,,,,,2020/5/15,2021/5/14
