编号,用途,省市,区县,宗地名称,宗地位置,出让年限,交易方式,起始价（万元）,成交价格(万元),溢价率,成交年份,成交年月,成交时间,出让面积,容积率,建筑面积,受让单位,母公司,所属集团公司,建设单位,设计单位,施工单位,监理单位,开工时间,建设用地规划许可证,建设工程规划许可证,竣工时间,全装修要求,装配式建筑比例（%）,单体预制率,约定开工时间,约定竣工时间
1,社会福利用地,徐州市,新沂市,新沂市养老服务中心,新沂市新安街道205国道以南、平安路以北、华裕路以东,,划拨,,,,2020,2020年6月,2020年6月3日,1216,1.2,1459.2,新沂市民政局,,,,,,,,,,,,,,2020年12月29日,2021年12月29日
2,城镇住宅用地,徐州市,邳州市,2020-15地块工程项目邳州市恒润城市投资有限公司,苏州路北、成都路东,70,挂牌,,7025.2,,2020,2020年6月,2020年6月3日,18014.56,2.2,39632.032,邳州市恒润城市投资有限公司,,,,,,,,,,,,,,2021年2月18日,2024年2月17日
3,城镇住宅用地,徐州市,邳州市,2020-20地块工程项目邳州市恒润城市投资有限公司,站南路南、规划道路西、文苑东路北,70,挂牌,,5415.8,,2020,2020年6月,2020年6月3日,13889.24,2.2,30556.328,邳州市恒润城市投资有限公司,,,,,,,,,,,,,,2021年2月10日,2024年2月9日
4,工业用地,徐州市,沛县,江苏辉辰钢构科技有限公司建设年产10万吨钢结构及铁塔生产项目,张庄镇工业一路南侧、民福路东侧,50,挂牌,,807,,2020,2020年6月,2020年6月2日,28683,1.2,34419.6,江苏辉辰钢构科技有限公司,,,,,,,,,,,,,,2020年12月2日,2022年12月1日
5,公路用地,徐州市,邳州市,310国道连接线邳州市铁富镇人民政府,邳州市铁富镇,,划拨,,,,2020,2020年6月,2020年6月2日,34815.69,,0,邳州市铁富镇人民政府,,,,,,,,,,,,,,2020年8月2日,2021年8月2日
6,公路用地,徐州市,邳州市,x107工程（珠江路东段）邳州市住建局,东湖街道,,划拨,,,,2020,2020年6月,2020年6月2日,21934,,0,邳州市住建局,,,,,,,,,,,,,,2020年8月12日,2021年8月12日
7,公路用地,徐州市,邳州市,运河至龙池线道路建设工程邳州市住建局,炮车街道,,划拨,,,,2020,2020年6月,2020年6月2日,22727.95,,0,邳州市住建局,,,,,,,,,,,,,,2020年8月15日,2021年8月15日
8,公路用地,徐州市,邳州市,251省道连接线（赵墩镇）邳州市赵墩镇人民政府,赵墩镇,,划拨,,,,2020,2020年6月,2020年6月2日,50362.14,,0,邳州市赵墩镇人民政府,,,,,,,,,,,,,,2020年8月10日,2021年8月10日
9,教育用地,徐州市,新沂市,新沂市双塘镇第二幼儿园,新沂市双塘镇圣泉湖大道东、健康路北,,划拨,,,,2020,2020年6月,2020年6月1日,6493,0.65,4220.45,新沂市双塘镇第二幼儿园,,,,,,,,,,,,,,2020年12月29日,2021年12月29日
10,教育用地,徐州市,新沂市,高新区实验学校,新沂市无锡新沂高新区惠前街东侧、胜利街南侧、聚福园小区北侧、新长铁路西侧,,划拨,,,,2020,2020年6月,2020年6月1日,32200,1,32200,新沂市沭东新城投资开发有限公司,,,,,,,,,,,,,,2020年12月29日,2021年12月29日
11,教育用地,徐州市,新沂市,市府东路幼儿园,新沂市无锡新沂高新区实验学校东侧、胜利街南侧、聚福园小区北侧,,划拨,,,,2020,2020年6月,2020年6月1日,8320,0.65,5408,新沂市沭东新城投资开发有限公司,,,,,,,,,,,,,,2020年12月29日,2021年12月29日
12,教育用地,徐州市,沛县,徐州中金棚户区改造建设有限公司建设汤沐初级中学项目,任敖路北侧、汉文路东侧,50,挂牌,,4178,,2020,2020年5月,2020年5月28日,37134,1,37134,徐州中金棚户区改造建设有限公司,,,,,,,,,,,,,,2021年5月28日,2023年5月27日
13,教育用地,徐州市,沛县,沛县文礼教育实业有限公司建设沛县河口中学校区,河口镇纬五路南侧、经三路东侧,50,挂牌,,2810,,2020,2020年5月,2020年5月28日,46817,1,46817,沛县文礼教育实业有限公司,,,,,,,,,,,,,,2021年5月28日,2023年5月27日
14,教育用地,徐州市,沛县,沛县文礼教育实业有限公司建设沛县安国镇二郎庙小学项目,安国镇泗水路南侧、亚夫路西侧,50,挂牌,,1317,,2020,2020年5月,2020年5月28日,21938,1,21938,沛县文礼教育实业有限公司,,,,,,,,,,,,,,2021年5月28日,2023年5月27日
15,教育用地,徐州市,沛县,沛县文礼教育实业有限公司建设沛县鹿楼镇鸳楼小学迁建工程,鹿楼镇鸳楼中学南侧、闵提口新村西侧,50,挂牌,,1340,,2020,2020年5月,2020年5月28日,22330,1,22330,沛县文礼教育实业有限公司,,,,,,,,,,,,,,2021年5月28日,2023年5月27日
16,零售商业用地,徐州市,睢宁县,中国石油天然气股份有限公司江苏徐州销售分公司建零售商业用地,凌城镇612（原121省道）省道西侧、小清河东侧,40,挂牌,,1958,,2020,2020年5月,2020年5月28日,4586.03,0.7,3210.221,中国石油天然气股份有限公司江苏徐州销售分公司,,,,,,,,,,,,,,2021年2月28日,2023年2月28日
17,城镇住宅用地,徐州市,睢宁县,徐州市融晟翔房地产开发有限公司建商住用地,沙集镇府前路北侧、电商路西侧,70年，40年,挂牌,,4350,,2020,2020年5月,2020年5月28日,32618.13,1.8,58712.634,徐州市融晟翔房地产开发有限公司,,,,,,,,,,,,,,2021年2月28日,2024年2月28日
18,商务金融用地,徐州市,鼓楼区,徐州金桥国际商务区开发有限公司建商务金融用地,淮徐高速以东、创业路以北,40,挂牌,,11250,,2020,2020年5月,2020年5月28日,35697.7,4,142790.8,徐州金桥国际商务区开发有限公司,,,,,,,,,,,,,,2021年5月28日,2022年11月28日
19,城镇住宅用地,徐州市,邳州市,官湖农贸市场商业广场徐州茂业置业有限公司,官湖镇经四路东、经五路西，北京路北,70,挂牌,,4455.25,,2020,2020年5月,2020年5月28日,41830.7,2,83661.4,徐州茂业置业有限公司,,,,,,,,,,,,,,2020年8月18日,2022年5月18日
20,城镇住宅用地,徐州市,鼓楼区,徐州金桥国际商务区开发有限公司建城镇住宅用地,和平路东延北侧,70,挂牌,,4970,,2020,2020年5月,2020年5月28日,44180.78,2.2,97197.716,徐州金桥国际商务区开发有限公司,,,,,,,,,,,,,,2020年11月28日,2022年5月28日
21,其他商服用地,徐州市,邳州市,官湖银杏湖时广场徐州茂业置业有限公司,官湖镇邳苍路西，复兴路南,40,挂牌,,4549.3,,2020,2020年5月,2020年5月28日,13326.29,2.5,33315.725,徐州茂业置业有限公司,,,,,,,,,,,,,,2020年12月18日,2022年12月18日
22,城镇住宅用地,徐州市,鼓楼区,徐州金桥国际商务区开发有限公司建城镇住宅用地,和平路东延南侧,70,挂牌,,1280,,2020,2020年5月,2020年5月28日,11363.29,2.2,24999.238,徐州金桥国际商务区开发有限公司,,,,,,,,,,,,,,2020年11月28日,2022年5月28日
23,水工建筑用地,徐州市,铜山区,新区街道徐村村防洪堤项目2020(GXF)H-1,新区街道徐庄村,,划拨,,,,2020,2020年5月,2020年5月28日,8814,,0,徐州市铜山区水务局,,,,,,,,,,,,,,2020年11月28日,2023年11月28日
24,公路用地,徐州市,铜山区,206国道改线龙亭段一2020(GXF)H-5,新区街道龙亭村、三堡村,,划拨,,,,2020,2020年5月,2020年5月28日,153560,,0,徐州市铜山区交通运输局,,,,,,,,,,,,,,2021年5月28日,2024年5月28日
