 行政区,项目名称,项目位置,面积(公顷),土地用途,供地方式,土地使用年限,行业分类,成交价格(万元),土地使用权人,约定容积率,合同签订日期,约定开工时间,约定竣工时间
 江阴市,  江阴远洲矿山工程机械有限公司（低效用地再开发）,  夏港街道景贤村,0.0683,  工业用地,  协议出让,50,  专用设备制造业,38.28,  江阴远洲矿山工程机械有限公司?,0.8,2020年6月19日,2021年6月9日,2022年6月9日
 滨湖区,  苏锡常南部高速公路（无锡马山段四期）,  马山北环堤河——十里明珠堤,0.30832,  公路用地,  划拨,  ,  国家机构,  ,  江苏省交通工程建设局,  ,2020年6月16日,2021年6月16日,2022年6月16日
 无锡市本级,  硕放街道边角地划拨核销,  无锡市新吴区硕放街道,9.65772,  公园与绿地,  划拨,  ,  中国共产党机关,  ,  无锡市新吴区人民政府硕放街道办事处,1,2020年6月16日,2021年6月16日,2022年6月16日
 无锡市本级,  锡达路延伸段（新韵路东）,  新吴区梅村街道新韵北路至规划堰头巷路,0.98242,  城镇村道路用地,  划拨,  ,  道路运输业,  ,  无锡市梅村经济发展有限公司,  ,2020年6月15日,2021年6月15日,2022年6月15日
 无锡市本级,  新吴实验中学项目(一期用地),  新吴区江华路与锡士路交叉口西南侧,3.53301,  教育用地,  划拨,  ,  教育业,  ,  无锡市新吴实验中学,  1.001.50,2020年6月15日,2021年6月15日,2023年6月15日
 宜兴市,  后姚路新建工程,  新庄街道西起东氿北路、东至芳塍路,1.6608,  公路用地,  划拨,  ,  道路运输业,  ,  宜兴市市政建设管理处,  ,2020年6月15日,2020年12月30日,2022年12月30日
 宜兴市,  新源路南延新建工程,  宜兴市新庄街道庆源大道南侧,0.8189,  公路用地,  划拨,  ,  道路运输业,  ,  宜兴市市政建设管理处,  ,2020年6月15日,2020年12月30日,2022年12月30日
 无锡市本级,  无锡养乐多乳品有限公司,  新吴区锡梅路以南、新鸿路以东,6.66282,  工业用地,  挂牌出让,50,  食品制造业,3198,  无锡养乐多乳品有限公司?,  1.202.00,2020年6月11日,2021年3月22日,2023年3月22日
 无锡市本级,  无锡博润兴阳精密机械科技有限公司,  纬八路南侧、中通路西侧,0.5457,  工业用地,  挂牌出让,50,  金属制品业,335,  无锡博润兴阳精密机械科技有限公司?,  1.202.00,2020年6月11日,2021年3月22日,2022年3月22日
 无锡市本级,  无锡华美新材料有限公司,  新吴区高浪路北侧、锡霞路东侧,3.08373,  工业用地,  挂牌出让,50,  专用设备制造业,1890,  无锡华美新材料有限公司?,  1.202.00,2020年6月11日,2021年3月22日,2023年3月22日
 无锡市本级,  无锡市航鹄精密机械有限公司,  新吴区新洲路以西、佳兴大件以北,1.98112,  工业用地,  挂牌出让,50,  通讯设备、计算机及其他电子设备制造业,1393,  无锡市航鹄精密机械有限公司?,  1.202.00,2020年6月11日,2021年3月22日,2022年9月22日
 宜兴市,  商业、住宅,  宜兴市新庄街道太湖大道南侧B2地块,3.0927,  城镇住宅用地,  挂牌出让,70,  房地产业,45100,  宜兴市恒乐置业有限公司?,  1.001.60,2020年6月10日,2021年5月28日,2024年5月27日
 江阴市,  江阴市长江房地产开发有限公司（二类居住用地）,  澄江街道芙蓉大道南、虹桥南路东、立新路北、花山路西侧,8.4195,  城镇住宅用地,  挂牌出让,70,  房地产业,201196,  江阴市长江房地产开发有限公司?,  2.302.40,2020年6月9日,2021年6月30日,2024年6月30日
 滨湖区,  渔港公交停车场提升及周边绿化环境整治,  滨湖区渔港路与听涛路交叉口西南侧,0.31312,  公园与绿地,  划拨,  ,  中国共产党机关,  ,  江苏省无锡蠡园经济开发区管理委员会,0.1,2020年6月9日,2021年6月9日,2022年6月9日
 无锡市本级,  江溪街道风雷嘉苑一期安置房工程,  新吴区学前东路北侧、后杨巷路南侧、兴源路西侧,0.95353,  城镇住宅用地,  划拨,  ,  中国共产党机关,  ,  无锡市新吴区人民政府江溪街道办事处,  1.003.50,2020年6月9日,2021年6月9日,2023年6月9日
 惠山区,  集聚区祁胜路、东兴路等6条道路新建工程2,  无锡市惠山区前洲街道浮舟村、黄石街村,1.36193,  城镇村道路用地,  划拨,  ,  商务服务业,  ,  无锡惠山工业转型集聚区产业发展有限公司,  ,2020年6月8日,2021年6月9日,2023年6月8日
 无锡市本级,  范巷地块,  梁溪区运河西路与创新路交叉口东南侧,2.44328,  科研用地,  挂牌出让,50,  计算机服务业,2932,  无锡数据湖信息技术有限公司?,2,2020年6月8日,2021年6月17日,2024年6月17日
 滨湖区,  上山新河及绿化配套工程,  胡埭镇,2.89387,  公园与绿地,  划拨,  ,  中国共产党机关,  ,  无锡市滨湖区胡埭镇人民政府,0.03,2020年6月8日,2021年6月8日,2022年6月8日
 江阴市,  金士龙（协议出让）,  江阴市绮山路141号,0.00443,  其他商服用地,  协议出让,40,  零售业,114.88,  金士龙?,4,2020年6月5日,2020年6月5日,2020年6月5日
 无锡市本级,  鸿山街道边角地划拨核销,  新吴区鸿山街道,67.75156,  公园与绿地,  划拨,  ,  中国共产党机关,  ,  无锡市新吴区人民政府鸿山街道办事处,1,2020年6月5日,2021年6月5日,2022年6月5日
 无锡市本级,  群兴路（新华路至新友北路）道路工程,  新吴区群兴路（新华路至新友北路）,1.44501,  城镇村道路用地,  划拨,  ,  其他服务业,  ,  无锡市梅村经济发展有限公司,  ,2020年6月5日,2021年6月5日,2022年6月5日
 宜兴市,  仓储建设项目,  和桥镇西锄村,0.7236,  仓储用地,  挂牌出让,50,  仓储业,479,  江苏新力达环境工程有限公司?,  0.801.20,2020年6月4日,2020年12月19日,2022年12月19日
 宜兴市,  宜兴市东坡幼儿园建设,  丁蜀镇蜀山社区,0.839,  教育用地,  划拨,  ,  教育业,  ,  无锡立卓文化发展有限公司,1,2020年6月4日,2020年12月18日,2022年12月18日
 宜兴市,  联东U谷宜兴科技产业园,  宜兴市绿园路,11.0463,  工业用地,  挂牌出让,50,  通用设备制造业,6617,  无锡联东金兴实业有限公司?,1.3,2020年6月4日,2020年10月15日,2023年9月30日
