行政区,项目名称,项目位置,面积(公顷),土地用途,供地方式,土地使用年限,行业分类,成交价格(万元),土地使用权人,约定容积率,合同签订日期,约定开工时间,约定竣工时间
石台县,大演乡新火村党群服务中心项目,大演乡新火村,0.219029,机关团体用地,划拨,,中国共产党机关,,大演乡政府,1,2020年7月1日,2021年10月1日,2022年10月1日
东至县,尧渡镇汪街村地块一,尧渡镇汪街村,0.5908,工业用地,挂牌出让,50,砖瓦、石材及其他建筑材料制造,66,东至安东丰达新型建材有限公司,0.801.50,2020年6月29日,,
东至县,尧渡镇汪街村地块二,尧渡镇汪街村,3.6183,工业用地,挂牌出让,50,砖瓦、石材及其他建筑材料制造,402,东至安东丰达新型建材有限公司,0.801.50,2020年6月29日,,
石台县,金钱山公寓项目,仁里镇缘溪村,0.332091,公用设施用地,划拨,,房地产业,,安徽牯牛降资产经营有限公司,1,2020年6月24日,2020年8月23日,2021年8月23日
池州市本级,市委党校新校区边角地,石台路,0.2559,公园与绿地,划拨,,其他服务业,,池州建设投资集团有限公司,,2020年6月23日,,
池州市本级,昭明大道南段绿化地,昭明大道,0.9364,公园与绿地,划拨,,国家机构,,池州市住房和城乡建设委员会,,2020年6月23日,,
东至县,绿地与广场用地,尧渡镇建东村、查桥村、长岭村、董冲村境内,6.4071,公园与绿地,划拨,,环境管理业,0,尧渡镇人民政府,1,2020年6月23日,,
东至县,大渡口镇衡山路西侧部分收储地块一,大渡口镇衡山路,1.695745,工业用地,挂牌出让,50,汽车制造,214,安徽省巨成汽车配件有限公司,1.001.50,2020年6月22日,2021年6月22日,2022年6月22日
东至县,东至县城南汽车站,沿河路与G206交口西南角,3.87325,交通服务场站用地,划拨,,道路运输业,0,东至县交通运输局,1,2020年6月19日,2021年6月19日,2022年6月19日
东至县,文化设施用地,龙泉镇龙泉村,0.17199,文化设施用地,划拨,,娱乐业,0,龙泉镇人民政府,1,2020年6月19日,,
东至县,建设南路安置房,尧渡镇建设南路,1.13797,城镇住宅用地,划拨,,房地产业,0,东至县城市经营投资有限公司,1.002.28,2020年6月19日,,
东至县,胜利镇经六路四地块,胜利镇方村村,0.799819,公路用地,划拨,,道路运输业,,东至县胜利镇人民政府,,2020年6月16日,,
东至县,东至县2018年第6批次昭潭镇昭潭村地块,昭潭镇昭潭村,0.34743,城镇住宅用地,挂牌出让,70,烟草制品业,219,安徽省烟草公司池州市公司,1.001.30,2020年6月16日,2021年6月16日,2022年6月16日
东至县,东至县花园乡中心学校中心幼儿园,花园乡花园村,0.29164,教育用地,划拨,,教育业,30.66,东至县花园乡中心学校,1.001.38,2020年6月15日,2021年5月26日,2022年6月26日
贵池区,殷汇配电检修中心,殷汇镇小石山,0.1964,公用设施用地,划拨,,其它,,国网安徽省电力有限公司池州市贵池区供电公司,,2020年6月15日,2021年6月15日,2022年6月15日
贵池区,晏塘供电所配检用房,乌沙镇红庄村,0.2853,公用设施用地,划拨,,其它,,国网安徽省电力有限公司池州市贵池区供电公司,,2020年6月15日,2021年6月15日,2022年6月15日
贵池区,乌沙供电所配检用房,乌沙镇乌沙社区,0.2128,公用设施用地,划拨,,其它,,国网安徽省电力有限公司池州市贵池区供电公司,,2020年6月15日,2021年6月15日,2022年6月15日
东至县,龙泉镇初级中学,龙泉镇龙泉村,4.960889,教育用地,划拨,,教育业,521,东至县龙泉镇初级中学,1,2020年6月15日,,
贵池区,殷汇供电所配检用房,殷汇镇殷汇村,0.197,公用设施用地,划拨,,其它,,国网安徽省电力有限公司池州市贵池区供电公司,,2020年6月15日,2021年6月15日,2022年6月15日
石台县,七都中心学校教师周转宿舍建设项目,七都镇七都村,0.1095,教育用地,划拨,,教育业,,七都中心学校,1.02,2020年6月9日,2021年9月9日,2022年9月9日
石台县,石台县长江经济带水质自动站建设,横渡镇鸿凌村、七都镇黄河村、小河镇东庄村,0.026675,公用设施用地,划拨,,环境管理业,,池州市石台县生态环境分局,,2020年6月9日,2021年6月9日,2022年6月9日
石台县,横渡镇农特产品加工集聚园项目,横渡镇横渡村,0.209208,公用设施用地,划拨,,农业,,横渡镇政府,1,2020年6月8日,2021年9月11日,2022年9月12日
贵池区,工业用地,梅街镇姚街村,4.1154,工业用地,挂牌出让,50,其他采矿业,634,安徽九华金峰矿业股份有限公司,1,2020年6月5日,2021年6月5日,2023年6月5日
贵池区,贵池区里山超载超限检测点,贵池区里山街道,0.312,交通服务场站用地,划拨,,国家机构,,池州市贵池区交通运输局,3.62,2020年6月5日,2021年6月5日,2022年6月5日
池州市本级,D35地块,江南产业集中区,1.0597,工业用地,挂牌出让,50,金属制品业,183,安徽省桥建金属股份公司,1.2,2020年6月5日,2020年11月25日,2021年11月25日
贵池区,牌楼镇保障房5#-7#楼,牌楼镇江南茶市小区对面,0.2969,城镇住宅用地,划拨,,其他服务业,,池州市贵池区牌楼镇人民政府,1.001.00,2020年6月5日,2021年6月5日,2022年6月5日
贵池区,公用设施用地（供电用地）,乌沙镇联村村,0.3266,公用设施用地,挂牌出让,50,其他服务业,56,池州市欣阳新能源发电有限公司,1,2020年6月5日,2021年6月5日,2022年6月5日
池州市本级,G16地块,江南产业集中区,3.7648,工业用地,挂牌出让,50,金属制品业,490,安徽佳晟金属科技有限公司,1.2,2020年6月5日,2020年11月25日,2021年11月25日
贵池区,工业用地,牌楼镇佳山村四建组,0.2467,工业用地,挂牌出让,50,农业,38,安徽省宏丽生物科技有限公司,1,2020年6月5日,2021年6月5日,2022年6月5日
东至县,大渡口镇原华兴厂房及周边地块,大渡口镇东区，206国道南侧,3.666794,城镇住宅用地,挂牌出让,70,房地产业,6618,池州市兴福房地产开发有限公司,1.001.80,2020年6月5日,2021年6月5日,2022年6月5日
青阳县,朱备镇小镇会客厅项目,朱备镇朱笔村,0.6276,文化设施用地,划拨,,国家机构,,朱备镇人民政府,1,2020年6月4日,2021年3月4日,2022年3月3日
石台县,小河镇龙山村地块,小河镇龙山村,0.060014,城镇住宅用地,挂牌出让,70,房地产业,23,安徽石台丽源置业有限公司,1.001.45,2020年6月1日,2021年5月1日,2022年5月1日
池州市本级,升金湖路与祥云大道交叉口西北侧地块,升金湖路,10.4456,城镇住宅用地,拍卖出让,城镇住宅用地70年; 零售商业用地40年;,房地产业,37700,池州市奥同房地产开发有限公司,1.001.60,2020年6月1日,2020年12月1日,2023年11月30日
贵池区,工业用地,梅村镇新村社区高田组,1.9005,工业用地,挂牌出让,50,其他服务业,303,池州硒泉水业有限公司,1.000.00,2020年5月27日,2021年5月27日,2023年5月27日
东至县,东至嘉瑞年华小区安置房,尧北路以南，县电力机修厂以东,3.749594,城镇住宅用地,划拨,,房地产业,0,东至县城市经营投资有限公司,1.002.29,2020年5月27日,2021年5月28日,2022年5月28日
东至县,黄山村地块一,香隅镇黄山村,0.079008,公路用地,划拨,,道路运输业,,安徽东至经济技术开发区管理委员会,,2020年5月26日,,
东至县,东流镇工业大道西侧1-4地块,东流工业集中区,1.127955,工业用地,挂牌出让,50,租赁业,170,池州东流工业集中区投资建设有限公司,1.001.50,2020年5月26日,2021年5月26日,2022年5月26日
贵池区,工业用地,涓桥镇紫岩村,0.3986,工业用地,挂牌出让,50,其他服务业,65,池州市联众农业有限公司,1.000.00,2020年5月25日,2021年5月25日,2022年5月25日
贵池区,工业用地,高新区白浦路以西、棠溪大道以东、九子路以西、栖云路以南,7.9982,工业用地,挂牌出让,50,金属制品业,890,安徽金池新材料有限公司,1.000.00,2020年5月20日,2021年5月20日,2023年5月20日
贵池区,工业用地,池州高新区白浦路以北、棠溪大道以东、九子路以西、栖云路以南,6.7359,工业用地,挂牌出让,50,金属制品业,750,安徽金池新材料有限公司,1.000.00,2020年5月20日,2021年5月20日,2023年5月20日
东至县,经开区通河南侧地块一,香隅镇金鸡村,0.653005,工业用地,挂牌出让,50,医药制造业,79,安徽泰福制药有限公司,0.601.50,2020年5月13日,2021年5月13日,2022年5月13日
