编号,用途,省市,区县,宗地名称,宗地位置,出让年限,交易方式,起始价（万元）,成交价(万元),溢价率,成交年份,成交年月,成交时间,出让面积,容积率,建筑面积（平方米）,受让单位,母公司,所属集团公司,建设单位,设计单位,施工单位,监理单位,开工时间,建设用地规划许可证,建设工程规划许可证,竣工时间,全装修要求,装配式建筑比例（%）,单体预制率,约定开工时间,约定竣工时间
1,旅馆用地,泰州市,兴化市,泰州万泊酒店管理有限公司,兴化市昌荣镇唐子村木塔路南侧,40,挂牌出让,,191,,2020,2020年5月,2020年5月29日,2538,1.8,4568.4,泰州万泊酒店管理有限公司,,,,,,,,,,,,,,2021年2月15日,2022年2月15日
2,工业用地,泰州市,兴化市,兴化市帅奇食品有限公司,兴化市安丰镇工业园区东区（钟南村）,50,挂牌出让,,64,,2020,2020年5月,2020年5月29日,2305.6,2,4611.2,兴化市帅奇食品有限公司,,,,,,,,,,,,,,2021年6月15日,2022年6月15日
3,工业用地,泰州市,兴化市,兴化市鑫亭古建园林工程有限公司,兴化市永丰镇兴盛村,50,挂牌出让,,195,,2020,2020年5月,2020年5月29日,7011.8,2,14023.6,兴化市鑫亭古建园林工程有限公司,,,,,,,,,,,,,,2021年6月15日,2022年6月15日
4,工业用地,泰州市,兴化市,兴化市馨阳保温材料有限公司,兴化市永丰镇工业集中区中心路东侧,50,挂牌出让,,101.5,,2020,2020年5月,2020年5月29日,3654.6,2,7309.2,兴化市馨阳保温材料有限公司,,,,,,,,,,,,,,2021年6月15日,2022年6月15日
5,工业用地,泰州市,兴化市,兴化市祥泰船厂,兴化市竹泓镇竹二村文化路北侧,50,挂牌出让,,35.5,,2020,2020年5月,2020年5月29日,1264.8,2,2529.6,兴化市祥泰船厂,,,,,,,,,,,,,,2021年6月15日,2022年6月15日
6,交通服务场站用地,泰州市,兴化市,兴化市交通产业投资有限公司,文林路东侧、牌楼路北侧,50,挂牌出让,,428,,2020,2020年5月,2020年5月26日,2000.6,2,4001.2,兴化市交通产业投资有限公司,,,,,,,,,,,,,,2020年12月19日,2021年6月19日
7,机关团体用地,泰州市,姜堰市,第五税务分局附属用房,姜堰区罗塘街道王石村,,划拨,,,,2020,2020年5月,2020年5月25日,658,1.2,789.6,泰州市姜堰区国家税务局,,,,,,,,,,,,,,2020年5月25日,2021年5月25日
8,工业用地,泰州市,兴化市,兴化市天乐金属制品有限公司,兴化市大垛镇保宽村,50,挂牌出让,,72,,2020,2020年5月,2020年5月22日,2590.5,2,5181,兴化市天乐金属制品有限公司,,,,,,,,,,,,,,2021年6月10日,2022年6月10日
9,工业用地,泰州市,兴化市,泰州市华阳体育器材有限公司,兴化市大垛镇大陶村,50,挂牌出让,,55.5,,2020,2020年5月,2020年5月22日,1988.9,2,3977.8,泰州市华阳体育器材有限公司,,,,,,,,,,,,,,2021年6月10日,2022年6月10日
10,公用设施用地,泰州市,泰兴市,泰兴市华伟能源科技有限公司,虹桥镇沿江大道东侧地块,40,挂牌出让,,180,,2020,2020年5月,2020年5月22日,2538,0.2,507.6,泰兴市华伟能源科技有限公司,,,,,,,,,,,,,,2021年11月22日,2024年5月22日
