编号,用途,省市,区县,宗地名称,宗地位置,出让年限,交易方式,起始价（万元）,成交价(万元),溢价率,成交年份,成交年月,成交时间,出让面积,容积率,建筑面积（平方米）,受让单位,母公司,所属集团公司,建设单位,设计单位,施工单位,监理单位,开工时间,建设用地规划许可证,建设工程规划许可证,竣工时间,全装修要求,装配式建筑比例（%）,单体预制率,约定开工时间,约定竣工时间
17,城镇住宅用地,泰州市,泰兴市,泰兴市新源农产品加工投资发展有限公司,农产品加工园区芮丰路西侧地块,70,挂牌出让,,1930,,2020,2020年5月,2020年5月22日,32096,1.3,41724.8,泰兴市新源农产品加工投资发展有限公司,,,,,,,,,,,,,,2021年11月22日,2024年5月22日
63,城镇住宅用地,泰州市,泰兴市,谢宗锦,泰兴市良种场,70,协议出让,,27.55,,2020,2020年4月,2020年4月22日,103.2,2.5,258,谢宗锦,,,,,,,,,,,,,,2020年10月16日,2020年10月16日
76,城镇住宅用地,泰州市,靖江市,居住（靖江市城投基础设施发展有限公司）,骥江西路北侧，陆三港东侧,70,挂牌出让,,6400,,2020,2020年4月,2020年4月14日,12094,1.6,19350.4,靖江市城投基础设施发展有限公司,,,,,,,,,,,,,,2022年9月30日,2024年9月30日
78,城镇住宅用地,泰州市,靖江市,商住（靖江华东城市建设有限公司）,北二环路北侧，渔婆北路西侧，新二路南侧,70,挂牌出让,,10700,,2020,2020年4月,2020年4月14日,54232,1.8,97617.6,靖江华东城市建设有限公司,,,,,,,,,,,,,,2022年9月30日,2024年9月30日
79,城镇住宅用地,泰州市,靖江市,居住（靖江华东城市建设有限公司）,北二环路北侧，渔婆北路西侧，新二路南侧,70,挂牌出让,,11870,,2020,2020年4月,2020年4月14日,64882,1.8,116787.6,靖江华东城市建设有限公司,,,,,,,,,,,,,,2022年9月30日,2024年9月30日
80,城镇住宅用地,泰州市,靖江市,商住（江苏景龙园现代农业投资开发有限公司）,阳光大道南侧，生态路北侧,70,挂牌出让,,18560,,2020,2020年4月,2020年4月14日,65144,2,130288,江苏景龙园现代农业投资开发有限公司,,,,,,,,,,,,,,2022年9月30日,2024年9月30日
103,城镇住宅用地,泰州市,泰州市本级,海陵区南通路南侧、老东河西侧地块,海陵区南通路南侧、老东河西侧,70,挂牌出让,,35700,,2020,2020年3月,2020年3月13日,29819,1.7,50692.3,盐城国投欧亚实业有限公司,,,,,,,,,,,,,,2021年1月16日,2024年1月16日
104,城镇住宅用地,泰州市,兴化市,兴化市城市建设投资有限公司,兴化市张郭镇纬二路北侧,70,挂牌出让,,10050,,2020,2020年3月,2020年3月13日,43784.9,2.2,96326.78,兴化市城市建设投资有限公司,,,,,,,,,,,,,,2020年11月26日,2023年5月26日
105,城镇住宅用地,泰州市,兴化市,兴化市城市建设投资有限公司,兴化市张郭镇纬二路北侧,70,挂牌出让,,8160,,2020,2020年3月,2020年3月13日,35478.1,2.2,78051.82,兴化市城市建设投资有限公司,,,,,,,,,,,,,,2020年11月28日,2023年5月28日
106,城镇住宅用地,泰州市,兴化市,兴化市城市建设投资有限公司,兴化市张郭镇纬二路北侧,70,挂牌出让,,6270,,2020,2020年3月,2020年3月13日,27131.7,2.2,59689.74,兴化市城市建设投资有限公司,,,,,,,,,,,,,,2020年11月28日,2023年5月28日
107,城镇住宅用地,泰州市,泰州市本级,环溪花园（保障性安置房）,高港区刁铺街道关桥社区、通太社区,,划拨,,,,2020,2020年3月,2020年3月13日,175949,2.29,402923.21,泰州引江城市开发建设有限公司,,,,,,,,,,,,,,2020年3月31日,2022年9月30日
109,城镇住宅用地,泰州市,兴化市,泰州和润置业有限公司,兴化市安丰镇新北郊村S229公路西侧。,70,挂牌出让,,1900,,2020,2020年3月,2020年3月10日,9332.7,1.62,15118.974,泰州和润置业有限公司,,,,,,,,,,,,,,2020年11月26日,2022年11月26日
128,城镇住宅用地,泰州市,泰州市本级,海陵区南通路南侧、老东河东侧地块,海陵区南通路南侧、老东河东侧,40年，70年,挂牌出让,,106500,,2020,2020年3月,2020年3月2日,99056,1.64,162451.84,中海宏洋地产集团有限公司,,,,,,,,,,,,,,2021年1月16日,2024年1月16日
168,城镇住宅用地,泰州市,兴化市,兴化市城市建设投资有限公司,兴临路西侧、南亭路北侧,70,挂牌出让,,11343,,2020,2020年2月,2020年2月7日,37169.6,2.2,81773.12,兴化市城市建设投资有限公司,,,,,,,,,,,,,,2020年10月17日,2022年8月17日
170,城镇住宅用地,泰州市,兴化市,江苏康隆置业有限公司,春江花园北侧、文林南路东侧,70,挂牌出让,,17547,,2020,2020年2月,2020年2月5日,55332.2,2,110664.4,江苏康桥置业有限公司,,,,,,,,,,,,,,2020年10月15日,2023年4月15日
180,城镇住宅用地,泰州市,姜堰市,南京彧盛置业有限公司,姜堰区长江路北侧、幸福路西侧,70,挂牌出让,,60099,,2020,2020年1月,2020年1月20日,69997,1.8,125994.6,南京彧盛置业有限公司,,,,,,,,,,,,,,2020年12月27日,2023年12月27日
194,城镇住宅用地,泰州市,泰州市本级,海陵区济川东路北侧、春晖路东侧地块,海陵区济川东路北侧、春晖路东侧,70,挂牌出让,,73900,,2020,2020年1月,2020年1月15日,52800,1.74,91872,泰州市乾晖房地产开发有限公司,,,,,,,,,,,,,,2020年12月26日,2023年12月26日
210,城镇住宅用地,泰州市,靖江市,商住（宇诚集团股份有限公司）,江阴园区联沁路西侧，七圩港东侧,70,挂牌出让,,23600,,2020,2020年1月,2020年1月8日,62021,1.8,111637.8,宇诚集团股份有限公司,,,,,,,,,,,,,,2021年12月30日,2023年12月30日
211,城镇住宅用地,泰州市,靖江市,商住（宇诚集团股份有限公司）,江阴园区联沁路西侧，沿江高等级公路南侧,70,挂牌出让,,16450,,2020,2020年1月,2020年1月8日,36142,1.8,65055.6,宇诚集团股份有限公司,,,,,,,,,,,,,,2021年12月30日,2023年12月30日
213,城镇住宅用地,泰州市,泰州市本级,泰州经济开发区天虹路东侧、规划鲍中路南侧地块,泰州经济开发区天虹路东侧、规划鲍中路南侧,40年，70年,挂牌出让,,47000,,2020,2020年1月,2020年1月6日,57289,1.45,83069.05,芜湖宇润实业有限公司,,,,,,,,,,,,,,2020年12月19日,2023年12月19日
220,城镇住宅用地,泰州市,靖江市,商住（信华建设）,新桥镇富江路东侧，振新路南侧,70,挂牌出让,,6135,,2020,2020年1月,2020年1月3日,38585,1.6,61736,靖江市信华建设有限公司,,,,,,,,,,,,,,2022年5月15日,2024年5月15日
230,城镇住宅用地,泰州市,泰州市本级,泰州经济开发区天虹路东侧、永定快速路北侧地块,泰州经济开发区天虹路东侧、永定快速路北侧,70,挂牌出让,,38100,,2019,2019年12,2019年12月30日,43697,2,87394,泰州市申和房地产开发有限公司,,,,,,,,,,,,,,2020年12月19日,2023年12月19日
233,城镇住宅用地,泰州市,靖江市,商住（龙信置业）,滨江新城文兴路东侧，阳光大道南侧,70,挂牌出让,,69800,,2019,2019年12,2019年12月27日,64507,1.8,116112.6,江苏龙信置业有限公司,,,,,,,,,,,,,,2022年3月15日,2024年3月15日
