编号,用途,省市,区县,宗地名称,宗地位置,出让年限,交易方式,起始价（万元）,成交价(万元),溢价率,成交年份,成交年月,成交时间,出让面积,容积率,建筑面积（平方米）,受让单位,母公司,所属集团公司,建设单位,设计单位,施工单位,监理单位,开工时间,建设用地规划许可证,建设工程规划许可证,竣工时间,全装修要求,装配式建筑比例（%）,单体预制率,约定开工时间,约定竣工时间
2,工业用地,泰州市,兴化市,兴化市帅奇食品有限公司,兴化市安丰镇工业园区东区（钟南村）,50,挂牌出让,,64,,2020,######,######,2305.6,2,4611.2,兴化市帅奇食品有限公司,,,,,,,,,,,,,,######,######
3,工业用地,泰州市,兴化市,兴化市鑫亭古建园林工程有限公司,兴化市永丰镇兴盛村,50,挂牌出让,,195,,2020,######,######,7011.8,2,14023.6,兴化市鑫亭古建园林工程有限公司,,,,,,,,,,,,,,######,######
4,工业用地,泰州市,兴化市,兴化市馨阳保温材料有限公司,兴化市永丰镇工业集中区中心路东侧,50,挂牌出让,,101.5,,2020,######,######,3654.6,2,7309.2,兴化市馨阳保温材料有限公司,,,,,,,,,,,,,,######,######
5,工业用地,泰州市,兴化市,兴化市祥泰船厂,兴化市竹泓镇竹二村文化路北侧,50,挂牌出让,,35.5,,2020,######,######,1264.8,2,2529.6,兴化市祥泰船厂,,,,,,,,,,,,,,######,######
8,工业用地,泰州市,兴化市,兴化市天乐金属制品有限公司,兴化市大垛镇保宽村,50,挂牌出让,,72,,2020,######,######,2590.5,2,5181,兴化市天乐金属制品有限公司,,,,,,,,,,,,,,######,######
9,工业用地,泰州市,兴化市,泰州市华阳体育器材有限公司,兴化市大垛镇大陶村,50,挂牌出让,,55.5,,2020,######,######,1988.9,2,3977.8,泰州市华阳体育器材有限公司,,,,,,,,,,,,,,######,######
11,工业用地,泰州市,兴化市,兴化市利兴体育器材有限公司,兴化市大垛镇双包村,50,挂牌出让,,32.5,,2020,######,######,1167,2,2334,兴化市利兴体育器材有限公司,,,,,,,,,,,,,,######,######
12,工业用地,泰州市,兴化市,兴化市辉宏五金工具有限公司,兴化市大垛镇丁家村,50,挂牌出让,,24,,2020,######,######,863.4,2,1726.8,兴化市辉宏五金工具有限公司,,,,,,,,,,,,,,######,######
13,工业用地,泰州市,兴化市,兴化市强赛食品厂,兴化市大垛镇天河工业集中区,50,挂牌出让,,59,,2020,######,######,2118.5,2,4237,兴化市强赛食品厂,,,,,,,,,,,,,,######,######
14,工业用地,泰州市,兴化市,兴化市励达不锈钢丝管厂,兴化市张郭镇赵万村南甸区域工业园,50,挂牌出让,,80,,2020,######,######,2869.9,2,5739.8,兴化市励达不锈钢丝管厂,,,,,,,,,,,,,,######,######
15,工业用地,泰州市,兴化市,兴化市荣慧机电设备配件厂,兴化市张郭镇南甸工业集中区,50,挂牌出让,,64,,2020,######,######,2299.8,2,4599.6,兴化市荣慧机电设备配件厂,,,,,,,,,,,,,,######,######
16,工业用地,泰州市,兴化市,泰州市迈风金属科技有限公司,兴化市张郭镇赵万村南甸区域,50,挂牌出让,,107,,2020,######,######,3853.2,2,7706.4,泰州迈风金属科技有限公司,,,,,,,,,,,,,,######,######
23,工业用地,泰州市,泰兴市,江苏欧普焊割机械有限公司,济川街道办集体、向阳村庄基、杨桥、北陈元组,50,挂牌出让,,253.935,,2020,######,######,6270,2,12540,江苏欧普焊割机械有限公司,,,,,,,,,,,,,,######,######
24,工业用地,泰州市,泰兴市,江苏泰洛克密封科技有限公司,济川街道办集体、向阳村庄基、杨桥、北陈元组,50,挂牌出让,,154.629,,2020,######,######,3818,2,7636,江苏泰洛克密封科技有限公司,,,,,,,,,,,,,,######,######
25,工业用地,泰州市,泰兴市,江苏龙河消防科技有限公司,济川街道办向阳村张垈组,50,挂牌出让,,1199.88,,2020,######,######,29997,2,59994,江苏龙河消防科技有限公司,,,,,,,,,,,,,,######,######
26,工业用地,泰州市,泰兴市,泰州市腾辉制衣有限公司,姚王镇新镇居委会姚庄3组，鲁堡村鲁堡6组,50,挂牌出让,,343.2,,2020,######,######,6000,2,12000,泰州市腾辉制衣有限公司,,,,,,,,,,,,,,######,######
27,工业用地,泰州市,泰兴市,泰兴市兴业标房建设有限公司,黄桥镇韩庄村（姜八路西侧）,50,挂牌出让,,83.6,,2020,######,######,1520,2,3040,泰兴市兴业标房建设有限公司,,,,,,,,,,,,,,######,######
39,工业用地,泰州市,泰州市本级,医药高新区泰镇路东侧、东联路南侧地块,医药高新区泰镇路东侧、东联路南侧,50,挂牌出让,,1250,,2020,######,######,33409,2,66818,江苏鸿赞蜂窝科技有限公司,,,,,,,,,,,,,,######,######
41,工业用地,泰州市,靖江市,靖江锦麟科技产业园管理有限公司,西来镇五圩村,50,挂牌出让,,4556.25,,2020,######,######,151875,2,303750,靖江锦麟科技产业园管理有限公司,,,,,,,,,,,,,,######,######
42,工业用地,泰州市,靖江市,江苏菲尔特液压机械有限公司,马桥镇正北村,50,挂牌出让,,412.8,,2020,######,######,6880,2,13760,江苏菲特尔液压机械有限公司,,,,,,,,,,,,,,######,######
43,工业用地,泰州市,靖江市,江苏亿鑫金属制品有限公司,马桥镇正北村,50,挂牌出让,,204.84,,2020,######,######,3414,2,6828,江苏亿鑫金属制品有限公司,,,,,,,,,,,,,,######,######
44,工业用地,泰州市,靖江市,江苏佳德纺织有限公司,马桥镇正北村,50,挂牌出让,,709.56,,2020,######,######,11826,2,23652,江苏佳德纺织有限公司,,,,,,,,,,,,,,######,######
48,工业用地,泰州市,靖江市,靖江特殊钢有限公司96,西来镇五圩村,39.35,协议出让,,2.74,,2020,######,######,96,1,96,靖江特殊钢有限公司,,,,,,,,,,,,,,######,######
49,工业用地,泰州市,靖江市,靖江特殊钢有限公司7502,西来镇五圩村,39.35,协议出让,,213.81,,2020,######,######,7502,1,7502,靖江特殊钢有限公司,,,,,,,,,,,,,,######,######
50,工业用地,泰州市,靖江市,靖江特殊钢有限公司1814,西来镇五圩村,39.35,协议出让,,51.7,,2020,######,######,1814,1,1814,靖江特殊钢有限公司,,,,,,,,,,,,,,######,######
51,工业用地,泰州市,兴化市,五得利集团兴化面粉有限公司,兴化经济开发区红星路东侧、凝心路南侧,50,挂牌出让,,2132.5,,2020,######,######,76834.6,2,153669.2,五得利集团兴化面粉有限公司,,,,,,,,,,,,,,######,######
52,工业用地,泰州市,兴化市,五得利集团兴化面粉有限公司,兴化经济开发区红星路东侧、凝心路南侧,50,挂牌出让,,790.5,,2020,######,######,28480.5,2,56961,五得利集团兴化面粉有限公司,,,,,,,,,,,,,,######,######
53,工业用地,泰州市,兴化市,兴化市经济发展有限公司,兴化经济开发区花溪路南侧、南山路东侧,50,挂牌出让,,2835.5,,2020,######,######,102163.8,2,204327.6,兴化市经济发展有限公司,,,,,,,,,,,,,,######,######
54,工业用地,泰州市,兴化市,兴化市经济发展有限公司,兴化经济开发区花溪路南侧、南山路东侧,50,挂牌出让,,2068.5,,2020,######,######,74535.2,2,149070.4,兴化市经济发展有限公司,,,,,,,,,,,,,,######,######
55,工业用地,泰州市,兴化市,江苏苏美特机械有限公司,兴化市开发区创汇路南侧、卤汀河西侧,50,挂牌出让,,1079,,2020,######,######,38881.4,2,77762.8,江苏苏美特机械有限公司,,,,,,,,,,,,,,######,######
56,工业用地,泰州市,兴化市,聚金龙玻璃兴化有限公司,兴化市经济开发区聚金龙一期东北侧、卤汀河路西侧,50,挂牌出让,,1076,,2020,######,######,38772.4,2,77544.8,聚金龙玻璃兴化有限公司,,,,,,,,,,,,,,######,######
57,工业用地,泰州市,兴化市,江苏凯普特动力机械有限公司,兴化市开发区创汇路北侧、凯普特一期西侧,50,挂牌出让,,87,,2020,######,######,3118.5,2,6237,江苏凯普特动力机械有限公司,,,,,,,,,,,,,,######,######
58,工业用地,泰州市,兴化市,泰州市建宇机械有限公司,兴化市开发区汤临路东侧、建宇一期南侧,50,挂牌出让,,78.5,,2020,######,######,2813,2,5626,泰州市建宇机械有限公司,,,,,,,,,,,,,,######,######
59,工业用地,泰州市,兴化市,兴化市康莹食品有限公司,兴化市开发区津烟路南侧、红星路西侧,50,挂牌出让,,897,,2020,######,######,32318,2,64636,兴化市康莹食品有限公司,,,,,,,,,,,,,,######,######
60,工业用地,泰州市,兴化市,江苏瀛图机械有限公司,兴化市开发区南山路东侧、南新通村公路南侧,50,挂牌出让,,375.5,,2020,######,######,13518.4,2,27036.8,江苏灜图机械有限公司,,,,,,,,,,,,,,######,######
70,工业用地,泰州市,高港区,龙凤堂公司新建工业厂房,永安洲镇龙凤堂西路北侧、疏港三路东侧,50,挂牌出让,,2830,,2020,######,######,65130,2,130260,扬子江药业集团江苏龙凤堂中药有限公司,,,,,,,,,,,,,,######,######
71,工业用地,泰州市,姜堰市,江苏国机机械制造有限公司厂房,姜堰开发区双寿村,50,挂牌出让,,635.9,,2020,######,######,20187,1,20187,江苏国机机械制造有限公司,,,,,,,,,,,,,,######,######
72,工业用地,泰州市,姜堰市,泰州市科博力新材料科技有限公司厂房,姜堰区蒋垛镇许庄村,50,挂牌出让,,440,,2020,######,######,13334,1,13334,泰州市科博力新材料科技有限公司,,,,,,,,,,,,,,######,######
73,工业用地,泰州市,海陵区,罡杨镇富强路北侧、西环路东侧地块,罡杨镇富强路北侧、西环路东侧,50,挂牌出让,,337,,2020,######,######,9546,2,19092,泰州市鼎力锻造科技有限公司,,,,,,,,,,,,,,######,######
74,工业用地,泰州市,泰兴市,江苏环耀工业科技有限公司,姚王镇新镇居委会姚庄3组，鲁堡村鲁堡6组,50,挂牌出让,,533.9048,,2020,######,######,9334,2,18668,江苏环耀工业科技有限公司,,,,,,,,,,,,,,######,######
85,工业用地,泰州市,泰兴市,江苏黄桥乐器文化产业园投资发展有限公司,黄桥镇野向村野向2、5组,50,挂牌出让,,1258.908,,2020,######,######,25692,2,51384,江苏黄桥乐器文化产业园投资发展有限公司,,,,,,,,,,,,,,######,######
86,工业用地,泰州市,泰兴市,耀拓装饰工程（泰兴）有限公司,曲霞镇镇西村陈公堂3、6组,50,挂牌出让,,215.0075,,2020,######,######,5059,2,10118,耀拓装饰工程（泰兴）有限公司,,,,,,,,,,,,,,######,######
87,工业用地,泰州市,泰兴市,江苏德大生物工程有限公司,河失镇河头居委会河头10组,50,挂牌出让,,287.541,,2020,######,######,4458,2,8916,江苏德大生物工程有限公司,,,,,,,,,,,,,,######,######
88,工业用地,泰州市,泰兴市,泰兴市永建服饰有限公司,河失镇常周居委会周桥2组,50,挂牌出让,,116.4,,2020,######,######,2425,2,4850,泰兴市永建服饰有限公司,,,,,,,,,,,,,,######,######
