编号,用途,省市,区县,宗地名称,宗地位置,出让年限,交易方式,起始价（万元）,成交价(万元),溢价率,成交年份,成交年月,成交时间,出让面积,容积率,建筑面积（平方米）,受让单位,母公司,所属集团公司,建设单位,设计单位,施工单位,监理单位,开工时间,建设用地规划许可证,建设工程规划许可证,竣工时间,全装修要求,装配式建筑比例（%）,单体预制率,约定开工时间,约定竣工时间
1,旅馆用地,泰州市,兴化市,泰州万泊酒店管理有限公司,兴化市昌荣镇唐子村木塔路南侧,40,挂牌出让,,191,,2020,######,######,2538,1.8,4568.4,泰州万泊酒店管理有限公司,,,,,,,,,,,,,,######,######
6,交通服务场站用地,泰州市,兴化市,兴化市交通产业投资有限公司,文林路东侧、牌楼路北侧,50,挂牌出让,,428,,2020,######,######,2000.6,2,4001.2,兴化市交通产业投资有限公司,,,,,,,,,,,,,,######,######
7,机关团体用地,泰州市,姜堰市,第五税务分局附属用房,姜堰区罗塘街道王石村,40,划拨,,,,2020,######,######,658,1.2,789.6,泰州市姜堰区国家税务局,,,,,,,,,,,,,,######,######
18,商务金融用地,泰州市,泰兴市,泰兴市德烨建筑安装工程有限公司,古溪镇乾坤路南侧、古马干河北侧地块,40,挂牌出让,,144,,2020,######,######,1827,1,1827,泰兴市德烨建筑安装工程有限公司,,,,,,,,,,,,,,######,######
19,商务金融用地,泰州市,泰兴市,泰兴市泰通投资发展有限公司（334省道黄桥收费站）,黄桥镇塔东路与334省道交界处,40,协议出让,,666.93,,2020,######,######,6419,2,12838,泰兴市泰通投资发展有限公司,,,,,,,,,,,,,,######,######
22,交通服务场站用地,泰州市,泰兴市,泰兴市泰通投资发展有限公司,七圩镇高圩九组,50,协议出让,,264.66,,2020,######,######,6600,2,13200,泰兴市泰通投资发展有限公司,,,,,,,,,,,,,,######,######
28,教育用地,泰州市,泰州市本级,周山河初中,寺巷街道、凤凰街道境内,40,划拨,,,,2020,######,######,36698,0.82,30092.36,泰州市新开城建项目投资管理有限公司,,,,,,,,,,,,,,######,######
29,教育用地,泰州市,泰兴市,泰兴市育红幼儿园,羌溪路西侧、龙河路南侧,40,划拨,,,,2020,######,######,7695,1.5,11542.5,泰兴市育红幼儿园,,,,,,,,,,,,,,######,######
30,教育用地,泰州市,泰兴市,泰兴市市级机关幼儿园,根思路北侧、拱极路东侧,40,划拨,,,,2020,######,######,9369,1.5,14053.5,泰兴市市级机关幼儿园,,,,,,,,,,,,,,######,######
40,教育用地,泰州市,泰州市本级,柴墟幼儿园,高港区口岸街道口岸社区境内,40,划拨,,,,2020,######,######,7670,0.8,6136,泰州引江城市开发建设有限公司,,,,,,,,,,,,,,######,######
46,教育用地,泰州市,泰州市本级,周山河小学,医药高新区寺巷街道杨庄社区、石桥社区境内,40,划拨,,,,2020,######,######,46012,0.75,34509,泰州市新开城建项目投资管理有限公司,,,,,,,,,,,,,,######,######
47,其他商服用地,泰州市,靖江市,商业（靖江市弯腰沟红色旅游有限公司）,季市镇弯腰沟南侧,40,挂牌出让,,252,,2020,######,######,4063,0.72,2925.36,靖江市弯腰沟红色旅游有限公司,,,,,,,,,,,,,,######,######
61,零售商业用地,泰州市,泰兴市,周启林,泰兴市万桥路16号1#16-7,40,协议出让,,26.33,,2020,######,######,48,4,192,周启林,,,,,,,,,,,,,,######,######
62,零售商业用地,泰州市,泰兴市,刘速,泰兴镇兴燕路,40,协议出让,,36.4,,2020,######,######,112.76,4,451.04,刘速,,,,,,,,,,,,,,######,######
64,交通服务场站用地,泰州市,兴化市,兴化市交通产业投资有限公司,齿轮厂小区西侧、英武路东侧,50,挂牌出让,,450,,2020,######,######,2021.5,0.2,404.3,兴化市交通产业投资有限公司,,,,,,,,,,,,,,######,######
67,交通服务场站用地,泰州市,兴化市,大营镇卫生院停车场扩建项目,兴化市大营镇大营村,40,划拨,,,,2020,######,######,1256.8,,0,兴化市大营镇卫生院,,,,,,,,,,,,,,######,######
75,其他商服用地,泰州市,靖江市,商业（靖江市城投基础设施发展有限公司）,胜利街西侧，团结路南侧,40,挂牌出让,,2758,,2020,######,######,2362,1.6,3779.2,靖江市城投基础设施发展有限公司,,,,,,,,,,,,,,######,######
77,其他商服用地,泰州市,靖江市,商业（华达汽车科技股份有限公司）,江平路北侧,40,挂牌出让,,785,,2020,######,######,4678,1.4,6549.2,华达汽车科技股份有限公司,,,,,,,,,,,,,,######,######
81,其他商服用地,泰州市,靖江市,服务设施用地（靖江市滨江新城投资开发有限公司）,长阳路北侧，渡江路东侧,40,挂牌出让,,9760,,2020,######,######,18601,1.3,24181.3,靖江市滨江新城投资开发有限公司,,,,,,,,,,,,,,######,######
93,机关团体用地,泰州市,兴化市,泰州市公安局交通警察支队高速公路七大队业务用房工程项目,兴化经济开发区阜兴泰高速公路兴化南收费广场东北侧,40,划拨,,,,2020,######,######,7954.1,0.5,3977.05,泰州市公安局,,,,,,,,,,,,,,######,######
100,医疗卫生用地,泰州市,泰州市本级,泰州医药高新区解家舍路南侧、鼓楼路东侧地块,泰州医药高新区解家舍路南侧、鼓楼路东侧,10,挂牌出让,,1020,,2020,######,######,10077,2,20154,泰州华信药业投资有限公司,,,,,,,,,,,,,,######,######
101,医疗卫生用地,泰州市,泰州市本级,泰州医药高新区解家舍路北侧、鼓楼路东侧地块,泰州医药高新区解家舍路北侧、鼓楼路东侧,50,挂牌出让,,6300,,2020,######,######,54576,1.5,81864,泰州华康投资有限公司,,,,,,,,,,,,,,######,######
102,零售商业用地,泰州市,泰州市本级,泰州医药高新区福康路北侧、春晖路西侧地块,泰州医药高新区福康路北侧、春晖路西侧,40,挂牌出让,,17100,,2020,######,######,31666,2,63332,泰州高新区康居建设开发有限公司,,,,,,,,,,,,,,######,######
108,商务金融用地,泰州市,兴化市,江苏兴达钢帘线股份有限公司,兴化市戴南镇人民西路南,40,挂牌出让,,275,,2020,######,######,3044.7,1.2,3653.64,江苏兴达钢帘线股份有限公司,,,,,,,,,,,,,,######,######
129,教育用地,泰州市,泰州市本级,环溪小学及环溪初级中学,高港区刁铺街道通太社区、许庄街道曹官营社区境内,40,划拨,,,,2020,######,######,60286,0.72,43405.92,泰州引江城市开发建设有限公司,,,,,,,,,,,,,,######,######
135,零售商业用地,泰州市,泰州市本级,海陵区南通路北侧、老东河东侧地块,海陵区南通路北侧、老东河东侧,40,挂牌出让,,5050,,2020,######,######,5399,1.8,9718.2,江苏臻金建设发展有限公司,,,,,,,,,,,,,,######,######
158,教育用地,泰州市,泰兴市,泰兴市广陵小学,广陵镇居委会,40,划拨,,,,2020,######,######,8597,1,8597,泰兴市广陵小学,,,,,,,,,,,,,,######,######
169,零售商业用地,泰州市,兴化市,兴化市交通产业投资有限公司,五里东路南侧、兴姜河东路东侧,40,挂牌出让,,73269,,2020,######,######,104287.7,2.2,229432.9,兴化市交通产业投资有限公司,,,,,,,,,,,,,,######,######
175,商务金融用地,泰州市,泰兴市,泰兴市智光环保科技有限公司,高新区文昌东路南侧、科新路西侧,50,挂牌出让,,1330,,2020,######,######,6362,1,6362,泰兴市智光环保科技有限公司,,,,,,,,,,,,,,######,######
176,商务金融用地,泰州市,泰兴市,泰兴市智光环保科技有限公司,高新区科新路西侧、国庆东路南侧,50,挂牌出让,,2815,,2020,######,######,24041,1.2,28849.2,泰兴市智光环保科技有限公司,,,,,,,,,,,,,,######,######
177,商务金融用地,泰州市,泰兴市,泰兴市黄桥机动车检测站,黄桥镇229省道西侧,40,挂牌出让,,196,,2020,######,######,931,2.8,2606.8,泰兴市黄桥机动车检测站,,,,,,,,,,,,,,######,######
178,商务金融用地,泰州市,泰兴市,泰兴市安泰水务集团有限公司,大庆路南侧原供电公司,40,挂牌出让,,4078,,2020,######,######,2043.3,4.6,9399.18,泰兴市安泰水务集团有限公司,,,,,,,,,,,,,,######,######
179,零售商业用地,泰州市,泰州市本级,高港区扬子江路西侧、柴墟路南侧地块,高港区扬子江路西侧、柴墟路南侧,40,挂牌出让,,15900,,2020,######,######,33627,1.1,36989.7,江苏创鸿资产管理有限公司,,,,,,,,,,,,,,######,######
181,商务金融用地,泰州市,泰州市本级,海陵区兴泰路东侧、运河路北侧地块,海陵区兴泰路东侧、运河路北侧,40,挂牌出让,,4450,,2020,######,######,8862,2.4,21268.8,泰州宝厦建设工程有限公司,,,,,,,,,,,,,,######,######
195,旅馆用地,泰州市,兴化市,咸小华,兴化市竹泓镇竹二村广场西侧,40,挂牌出让,,100,,2020,######,######,873,2.5,2182.5,咸小华,,,,,,,,,,,,,,######,######
204,教育用地,泰州市,姜堰市,姜堰区实验教育集团新桥校区、幼儿园新桥校区,罗塘街道工联村,40,划拨,,0,,2020,######,######,34472,0.75,25854,泰州市姜堰城市建设投资集团有限公司,,,,,,,,,,,,,,######,######
