编号,用途,省市,区县,宗地名称,宗地位置,出让年限,交易方式,成交价格(万元),溢价率,成交年份,成交年月,成交时间,出让面积,容积率,建筑面积（平方米）,受让单位,母公司,所属集团公司,建设单位,设计单位,施工单位,监理单位,开工时间,建设用地规划许可证,建设工程规划许可证,竣工时间,全装修要求,装配式建筑比例（%）,单体预制率,约定开工时间,约定竣工时间
1,工业用地,盐城市,东台市,保尔晏华园艺科技（江苏）有限公司,头灶镇四大沟西、八浅沟北侧,50,挂牌,513,,2020,2020年6月,2020/6/9,30000,1,30000,保尔晏华园艺科技（江苏）有限公司,,,,,,,,,,,,,,2021/2/9,2023/2/9
2,城镇住宅用地,盐城市,射阳县,开发区人民法院北侧地块,开发区人民法院北侧地块,70,挂牌,657,,2020,2020年6月,2020/6/9,3664,1.5,5496,淮安鑫鼎置业有限公司,,,,,,,,,,,,,,2021/4/9,2024/4/9
3,旅馆用地,盐城市,东台市,东台市海滨投资发展有限公司,东台市沿海经济区服务中心、迎宾路西侧,40,挂牌,182.286,,2020,2020年6月,2020/6/5,4797,1.5,7195.5,东台市海滨投资发展有限公司,,,,,,,,,,,,,,2021/3/5,2024/3/4
4,其他商服用地,盐城市,亭湖区,盐城大洋湾生态旅游景区有限公司,盐城市亭湖区南洋镇民航村四组,40,挂牌,321.112,,2020,2020年6月,2020/6/4,1804,1,1804,盐城大洋湾生态旅游景区有限公司,,,,,,,,,,,,,,2021/6/4,2024/6/4
5,其他商服用地,盐城市,亭湖区,盐城大洋湾生态旅游景区有限公司,盐城市亭湖区南洋镇新洋村,40,挂牌,104.027,,2020,2020年6月,2020/6/4,539,1.2,646.8,盐城大洋湾生态旅游景区有限公司,,,,,,,,,,,,,,2021/6/4,2024/6/4
6,其他商服用地,盐城市,亭湖区,盐城大洋湾生态旅游景区有限公司,盐城市亭湖区南洋镇民航村四组,40,挂牌,1411.54,,2020,2020年6月,2020/6/4,7930,1,7930,盐城大洋湾生态旅游景区有限公司,,,,,,,,,,,,,,2021/6/4,2024/6/4
7,其他商服用地,盐城市,亭湖区,盐城大洋湾生态旅游景区有限公司,盐城市亭湖区南洋镇民航村四组,40,挂牌,551.622,,2020,2020年6月,2020/6/4,3099,1,3099,盐城大洋湾生态旅游景区有限公司,,,,,,,,,,,,,,2021/6/4,2024/6/4
8,城镇住宅用地,盐城市,亭湖区,盐城易汇地产有限公司,盐城市亭湖经济开发区三洼村民委员会二组,70,挂牌,15093.45,,2020,2020年6月,2020/6/4,67082,1.8,120747.6,盐城易汇地产有限公司,,,,,,,,,,,,,,2021/6/4,2024/6/4
9,盐田,盐城市,射阳县,射阳盐场海堤公路东侧地块二,射阳盐场海堤公路东侧地块二,50,协议,9872.4932,,2020,2020年6月,2020/6/3,3404308,1,3404308,江苏银宝控股集团有限公司,,,,,,,,,,,,,,2020/12/3,2022/12/2
10,盐田,盐城市,射阳县,射阳盐场海堤公路东侧地块十二,射阳盐场海堤公路东侧地块十二,50,协议,2651.9775,,2020,2020年6月,2020/6/2,914475,1,914475,江苏银宝控股集团有限公司,,,,,,,,,,,,,,2020/12/2,2022/12/1
