编号,用途,省市,区县,宗地名称,宗地位置,出让年限,交易方式,成交价格(万元),溢价率,成交年份,成交年月,成交时间,出让面积,容积率,建筑面积（平方米）,受让单位,母公司,所属集团公司,建设单位,设计单位,施工单位,监理单位,开工时间,建设用地规划许可证,建设工程规划许可证,竣工时间,全装修要求,装配式建筑比例（%）,单体预制率,约定开工时间,约定竣工时间
2,城镇住宅用地,盐城市,射阳县,开发区人民法院北侧地块,开发区人民法院北侧地块,70,挂牌,657,,2020,2020年6月,2020/6/9,3664,1.5,5496,淮安鑫鼎置业有限公司,,,,,,,,,,,,,,2021/4/9,2024/4/9
8,城镇住宅用地,盐城市,亭湖区,盐城易汇地产有限公司,盐城市亭湖经济开发区三洼村民委员会二组,70,挂牌,15093.45,,2020,2020年6月,2020/6/4,67082,1.8,120747.6,盐城易汇地产有限公司,,,,,,,,,,,,,,2021/6/4,2024/6/4
43,城镇住宅用地,盐城市,滨海县,滨海县城镇建设发展有限公司,滨海县海滨大道南侧、城东大道东侧,70,挂牌,10803.87,,2020,2020年5月,2020/5/27,32739,2.3,75299.7,滨海县城镇建设发展有限公司,,,,,,,,,,,,,,2020/9/3,2022/9/3
46,城镇住宅用地,盐城市,射阳县,丰和名都南侧1号地块,丰和名都南侧1号地块,70,挂牌,20393,,2020,2020年5月,2020/5/26,50875,2.2,111925,盐城绿洲房地产开发有限公司,,,,,,,,,,,,,,2021/7/26,2024/7/26
49,城镇住宅用地,盐城市,大丰市,盐城市大丰区林场,盐城市大丰区林场北场圩西4排南北中心路东侧,70,协议,784.42,,2020,2020年5月,2020/5/25,14393,1,14393,盐城市大丰区林场,,,,,,,,,,,,,,,
85,城镇住宅用地,盐城市,盐都区,盐城兴城置业有限公司,盐都区开创路东、蓝海路南,70,挂牌,8750.21,,2020,2020年5月,2020/5/18,57889,2.5,144722.5,盐城兴城置业有限公司,,,,,,,,,,,,,,2021/8/17,2024/8/16
114,城镇住宅用地,盐城市,东台市,公园南侧地块三,东台市人民公园南侧,70,挂牌,72282,,2020,2020年5月,2020/5/9,70000,2.3,161000,万达地产集团有限公司,,,,,,,,,,,,,,2021/9/23,2024/9/22
115,城镇住宅用地,盐城市,东台市,公园南侧地块四,东台市人民公园南侧,70,挂牌,60270,,2020,2020年5月,2020/5/9,70000,2,140000,东台市港碧房地产开发有限公司,,,,,,,,,,,,,,2021/9/23,2024/9/22
143,城镇住宅用地,盐城市,大丰市,南京中润和骏置业有限公司,大中街道新村路南侧、双拥路东侧,70年，40年,挂牌,57740,,2020,2020年4月,2020/4/29,80752,1.8,145353.6,南京中润和骏置业有限公司,,,,,,,,,,,,,,2021/4/28,2023/4/28
179,城镇住宅用地,盐城市,阜宁县,江苏冠城伟业房地产开发有限公司,阜城街道办中岗村,70年，40年,挂牌,26471,,2020,2020年4月,2020/4/20,59199,2.5,147997.5,江苏冠城伟业房地产开发有限公司,,,,,,,,,,,,,,2021/7/20,2023/7/20
