编号,用途,省市,区县,宗地名称,宗地位置,出让年限,交易方式,成交价格(万元),溢价率,成交年份,成交年月,成交时间,出让面积,容积率,建筑面积（平方米）,受让单位,母公司,所属集团公司,建设单位,设计单位,施工单位,监理单位,开工时间,建设用地规划许可证,建设工程规划许可证,竣工时间,全装修要求,装配式建筑比例（%）,单体预制率,约定开工时间,约定竣工时间
3,旅馆用地,盐城市,东台市,东台市海滨投资发展有限公司,东台市沿海经济区服务中心、迎宾路西侧,40,挂牌,182.286,,2020,2020年6月,2020/6/5,4797,1.5,7195.5,东台市海滨投资发展有限公司,,,,,,,,,,,,,,2021/3/5,2024/3/4
4,其他商服用地,盐城市,亭湖区,盐城大洋湾生态旅游景区有限公司,盐城市亭湖区南洋镇民航村四组,40,挂牌,321.112,,2020,2020年6月,2020/6/4,1804,1,1804,盐城大洋湾生态旅游景区有限公司,,,,,,,,,,,,,,2021/6/4,2024/6/4
5,其他商服用地,盐城市,亭湖区,盐城大洋湾生态旅游景区有限公司,盐城市亭湖区南洋镇新洋村,40,挂牌,104.027,,2020,2020年6月,2020/6/4,539,1.2,646.8,盐城大洋湾生态旅游景区有限公司,,,,,,,,,,,,,,2021/6/4,2024/6/4
6,其他商服用地,盐城市,亭湖区,盐城大洋湾生态旅游景区有限公司,盐城市亭湖区南洋镇民航村四组,40,挂牌,1411.54,,2020,2020年6月,2020/6/4,7930,1,7930,盐城大洋湾生态旅游景区有限公司,,,,,,,,,,,,,,2021/6/4,2024/6/4
7,其他商服用地,盐城市,亭湖区,盐城大洋湾生态旅游景区有限公司,盐城市亭湖区南洋镇民航村四组,40,挂牌,551.622,,2020,2020年6月,2020/6/4,3099,1,3099,盐城大洋湾生态旅游景区有限公司,,,,,,,,,,,,,,2021/6/4,2024/6/4
16,公用设施用地,盐城市,盐都区,盐城市盐都区冈中养护工区项目,盐都区盐渎街道,,划拨,,,2020,2020年5月,2020/5/29,6676,0.5,3338,盐城市盐都区交通运输局,,,,,,,,,,,,,,2020/9/1,2021/8/31
18,公用设施用地,盐城市,盐都区,盐都区滨湖养护工区项目,盐都区滨湖街道,,划拨,,,2020,2020年5月,2020/5/29,6666,0.5,3333,盐城市盐都交通运输局,,,,,,,,,,,,,,2020/9/1,2021/8/31
19,公用设施用地,盐城市,盐都区,盐城市盐都区生活垃圾分拣中心项目,盐都区郭猛镇,,划拨,,,2020,2020年5月,2020/5/29,13356,0.5,6678,盐城市盐都区城市管理局,,,,,,,,,,,,,,2020/9/21,2021/9/20
21,公用设施用地,盐城市,盐都区,盐城市盐都区建筑垃圾调剂场项目,盐都区盐渎街道,,划拨,,,2020,2020年5月,2020/5/29,12000,0.5,6000,盐城市盐都区城市管理局,,,,,,,,,,,,,,2020/9/21,2021/9/20
24,娱乐用地,盐城市,亭湖区,盐城大洋湾生态旅游景区有限公司,盐城市亭湖区南洋镇新洋村八组,40,挂牌,2659.498,,2020,2020年5月,2020/5/28,14941,1,14941,盐城大洋湾生态旅游景区有限公司,,,,,,,,,,,,,,2021/5/28,2024/5/28
25,其他商服用地,盐城市,亭湖区,盐城大洋湾生态旅游景区有限公司,盐城市亭湖区南洋镇民航村四组,40,挂牌,1382.17,,2020,2020年5月,2020/5/28,7765,1,7765,盐城大洋湾生态旅游景区有限公司,,,,,,,,,,,,,,2021/5/28,2024/5/28
26,文化设施用地,盐城市,亭湖区,盐城大洋湾生态旅游景区有限公司,盐城市亭湖区南洋镇民航村四组,50,挂牌,2000.72,,2020,2020年5月,2020/5/28,11240,1,11240,盐城大洋湾生态旅游景区有限公司,,,,,,,,,,,,,,2021/5/28,2024/5/28
27,其他商服用地,盐城市,亭湖区,盐城大洋湾生态旅游景区有限公司,盐城市亭湖区南洋镇新洋村八组,40,挂牌,286.224,,2020,2020年5月,2020/5/28,1608,1,1608,盐城大洋湾生态旅游景区有限公司,,,,,,,,,,,,,,2021/5/28,2024/5/28
50,其他商服用地,盐城市,射阳县,西湖大桥东侧地块一,西湖大桥东侧地块一,40,挂牌,1224,,2020,2020年5月,2020/5/25,16694,2,33388,射阳县旅游投资发展有限公司,,,,,,,,,,,,,,2021/3/25,2024/3/25
51,其他商服用地,盐城市,射阳县,西湖大桥东侧地块二,西湖大桥东侧地块二,40,挂牌,4991,,2020,2020年5月,2020/5/25,68180,2,136360,射阳县旅游投资发展有限公司,,,,,,,,,,,,,,2021/3/25,2024/3/25
52,其他商服用地,盐城市,射阳县,西湖大桥东侧地块三,西湖大桥东侧地块三,40,挂牌,3954,,2020,2020年5月,2020/5/25,54013,2,108026,射阳县旅游投资发展有限公司,,,,,,,,,,,,,,2021/3/25,2024/3/25
53,其他商服用地,盐城市,射阳县,西湖大桥东侧地块四,西湖大桥东侧地块四,40,挂牌,207,,2020,2020年5月,2020/5/25,2820,2,5640,射阳县旅游投资发展有限公司,,,,,,,,,,,,,,2021/3/25,2024/3/25
54,其他商服用地,盐城市,射阳县,西湖大桥东侧地块五,西湖大桥东侧地块五,40,挂牌,190,,2020,2020年5月,2020/5/25,2580,2,5160,射阳县旅游投资发展有限公司,,,,,,,,,,,,,,2021/3/25,2024/3/25
59,其他商服用地,盐城市,盐南高新区,人民路东，第一沟北,盐城市盐南高新区新都街道办事处新丰社区,30,挂牌,13992.99,,2020,2020年5月,2020/5/21,11914,4,47656,江苏润海置业有限公司,,,,,,,,,,,,,,2021/8/20,2024/8/20
71,教育用地,盐城市,盐都区,科创城小学、初中,盐城市盐都区潘黄街道办事处宝才居委会,,划拨,,,2020,2020年5月,2020/5/20,111402,0.55,61271.1,江苏盐西世纪教育产业项目开发有限公司,,,,,,,,,,,,,,2020/9/20,2022/9/19
73,教育用地,盐城市,盐都区,东进路小学、初中,盐城市盐都区潘黄街道办事处宝才居委会,,划拨,,,2020,2020年5月,2020/5/20,86499,0.75,64874.25,江苏盐西宝兴教育产业发展有限公司,,,,,,,,,,,,,,2020/9/20,2022/9/19
94,公用设施用地,盐城市,响水县,响水县新港建设发展有限公司,观潮二路北侧、港大道西侧,50,挂牌,1118,,2020,2020年5月,2020/5/13,70732,0.6,42439.2,响水县新港建设发展有限公司,,,,,,,,,,,,,,2020/12/10,2023/12/10
95,公用设施用地,盐城市,响水县,响水永能太阳能发电有限公司,响水县灌东盐场,50,挂牌,73,,2020,2020年5月,2020/5/13,4478,0.5,2239,响水永能太阳能发电有限公司,,,,,,,,,,,,,,2020/12/10,2023/12/10
125,批发市场用地,盐城市,滨海县,盐城冠恒冷链物流仓储有限公司,滨海县S327（套坎河）北侧、西湖路西侧,40,挂牌,3044.47,,2020,2020年5月,2020/5/8,65332,1.45,94731.4,盐城冠恒冷链物流仓储有限公司,,,,,,,,,,,,,,2020/8/8,2022/8/8
128,其他商服用地,盐城市,响水县,响水县灌江文体产业发展有限公司,幸福路西侧、银河路南侧,40,挂牌,12627,,2020,2020年5月,2020/5/7,42073,1,42073,响水县灌江文体产业发展有限公司,,,,,,,,,,,,,,2020/12/7,2023/12/7
129,其他商服用地,盐城市,响水县,响水县灌江文体产业发展有限公司,黄响路东侧、军辉机械制造有限公司南侧,40,挂牌,1172,,2020,2020年5月,2020/5/7,7074,1,7074,响水县灌江文体产业发展有限公司,,,,,,,,,,,,,,2020/12/7,2023/12/7
130,其他商服用地,盐城市,响水县,响水县灌江文体产业发展有限公司,中心村新型社区东侧，县道304西侧,40,挂牌,989,,2020,2020年5月,2020/5/7,6002,1,6002,响水县灌江文体产业发展有限公司,,,,,,,,,,,,,,2020/12/7,2023/12/7
131,其他商服用地,盐城市,响水县,响水县灌江文体产业发展有限公司,瑞海路南侧、石港路西侧,40,挂牌,1954,,2020,2020年5月,2020/5/7,11855,1,11855,响水县灌江文体产业发展有限公司,,,,,,,,,,,,,,2020/12/7,2023/12/7
138,公用设施用地,盐城市,射阳县,临农35千伏变电站改造工程,盐城市射阳县临海农场场部境内,,划拨,,,2020,2020年5月,2020/5/6,3024,1.5,4536,国网江苏省电力有限公司盐城供电分公司,,,,,,,,,,,,,,2021/4/1,2023/3/31
139,其他商服用地,盐城市,滨海县,吕庆生,县城阜东北路西侧（原滨海农业银行坎北营业所（一楼））,40,协议,13.97,,2020,2020年4月,2020/4/30,152.89,0.01,1.5289,吕庆生,,,,,,,,,,,,,,2020/4/30,2020/4/30
142,公用设施用地,盐城市,阜宁县,城南新区A地块配套设施,阜宁县阜城街道办崔湾居委会,,划拨,0,,2020,2020年4月,2020/4/30,10486.72,1.6,16778.752,阜宁县住房和城乡县设局,,,,,,,,,,,,,,2020/5/10,2022/5/10
145,零售商业用地,盐城市,阜宁县,阜宁县伟业城镇建设开发有限公司,阜城街道办事处新桥村,40,挂牌,30362,,2020,2020年4月,2020/4/28,50656.71,2.5,126641.775,阜宁县伟业城镇建设开发有限公司,,,,,,,,,,,,,,2021/7/28,2023/7/28
166,公用设施用地,盐城市,射阳县,新农35千伏变电站改造工程,盐城市射阳县新洋农场农科所境内,,划拨,,,2020,2020年4月,2020/4/24,2512,1.5,3768,国网江苏省电力有限公司盐城供电分公司,,,,,,,,,,,,,,2021/4/1,2023/3/31
167,公用设施用地,盐城市,射阳县,千秋110千伏变电站新建工程,盐城市射阳县千秋镇振兴居委会境内,,划拨,,,2020,2020年4月,2020/4/24,4038,1.5,6057,国网江苏省电力有限公司盐城供电分公司,,,,,,,,,,,,,,2021/4/1,2023/3/31
169,机关团体用地,盐城市,盐都区,同桂村党群服务中心项目,盐城市盐都区盐渎街道办事处同桂村三组,,划拨,,,2020,2020年4月,2020/4/21,2118,0.38,804.84,盐城市盐都区人民政府盐渎街道办事处,,,,,,,,,,,,,,2020/8/21,2021/8/20
170,零售商业用地,盐城市,亭湖区,盐城市黄海东路16号招商厂地块,盐城市黄海东路16号,40,协议,21390.87,,2020,2020年4月,2020/4/21,21941.6,1,21941.6,盐城市市场监督管理局,,,,,,,,,,,,,,2020/7/21,2022/7/20
180,其他商服用地,盐城市,射阳县,县城市场服务中心,县城康平路南侧、路灯管理所东侧,40,协议,446.0804,,2020,2020年4月,2020/4/20,1873.5,0.27,505.845,射阳城市建设发展集团有限公司,,,,,,,,,,,,,,2020/4/20,2020/4/20
181,文化设施用地,盐城市,东台市,时堰镇牡丹文化广场,东台市时堰镇建设南路西侧牡丹园内,,划拨,16.6274,,2020,2020年4月,2020/4/17,1947,0.01,19.47,东台市泰东工业园区发展有限公司,,,,,,,,,,,,,,2020/10/10,2021/10/10
198,其他商服用地,盐城市,盐南高新区,盐渎路北、新园路西侧地块,盐城市盐南高新区新河街道办事处新墩社区,40,挂牌,30207.3704,,2020,2020年4月,2020/4/15,107768,2.7,290973.6,上海滨杰实业有限公司、盐城市城南房地产开发有限责任公司,,,,,,,,,,,,,,2021/7/15,2024/7/15
199,其他商服用地,盐城市,盐南高新区,聚亨路南、文港路东侧,盐城市盐南高新区新河街道办事处新墩社区,40,挂牌,20287.197,,2020,2020年4月,2020/4/15,110859,1.4,155202.6,上海滨杰实业有限公司、盐城市城南房地产开发有限责任公司,,,,,,,,,,,,,,2021/7/15,2024/7/15
200,其他商服用地,盐城市,盐都区,江苏润都旅游发展有限公司,学富镇周伙村反帝河北、盐徐高速西,40,挂牌,1765.659,,2020,2020年4月,2020/4/15,35455,0.8,28364,江苏润都旅游发展有限公司,,,,,,,,,,,,,,2021/8/10,2023/8/10
204,零售商业用地,盐城市,亭湖区,沐阳交通新能源盐城有限公司黄尖中路港加油站,盐城市亭湖区黄尖镇黄尖居委会,40,挂牌,2411.4,,2020,2020年4月,2020/4/13,4019,0.5,2009.5,沐阳交通新能源盐城有限公司黄尖中路港加油站,,,,,,,,,,,,,,2021/4/13,2024/4/13
206,其他商服用地,盐城市,大丰市,江苏海博仓储物流有限公司,开发区污水处理厂西侧、南翔路北侧,40,挂牌,5660,,2020,2020年4月,2020/4/13,37682,1.5,56523,江苏海博仓储物流有限公司,,,,,,,,,,,,,,2021/4/12,2023/4/12
218,餐饮用地,盐城市,射阳县,三中西侧1号地块,三中西侧1号地块,40,挂牌,2810,,2020,2020年4月,2020/4/8,16630,2.2,36586,上海罗宇市政工程有限公司,,,,,,,,,,,,,,2021/2/8,2024/2/8
220,公用设施用地,盐城市,射阳县,兴桥供电所生产营业楼项目,兴桥镇红星居委会,50,协议,62.5239,,2020,2020年4月,2020/4/8,3361.5,1.5,5042.25,国网江苏省电力有限公司射阳县供电分公司,,,,,,,,,,,,,,2021/4/8,2023/4/7
224,教育用地,盐城市,阜宁县,阜宁县幼儿园澳门路园区新建教学楼项目,阜宁县经济开发区黄舍居委会一组,,划拨,0,,2020,2020年4月,2020/4/7,5001.18,0.9,4501.062,阜宁县幼儿园,,,,,,,,,,,,,,2020/4/16,2022/4/16
225,科研用地,盐城市,射阳县,江苏省农垦农业发展股份有限公司现代农业研究院,射阳县新洋农场纬四西路南侧,50,挂牌,84.2304,,2020,2020年4月,2020/4/7,3936,2,7872,江苏省农垦农业发展股份有限公司现代农业研究院,,,,,,,,,,,,,,2021/7/5,2023/7/4
226,其他商服用地,盐城市,大丰市,江苏多为泵业股份有限公司,新团街人民南路西侧,40,协议,19.4,,2020,2020年4月,2020/4/7,254.44,1,254.44,江苏多为泵业股份有限公司,,,,,,,,,,,,,,2020/4/7,2020/4/7
231,其他商服用地,盐城市,响水县,响水县灌江文体产业发展有限公司,迎宾大道北侧、开山路西侧,40,挂牌,32795,,2020,2020年4月,2020/4/2,108218,1,108218,响水县灌江文体产业发展有限公司,,,,,,,,,,,,,,2020/10/31,2023/10/31
232,教育用地,盐城市,盐南高新区,新都路小学,盐城市盐南高新区新都街道办事处新丰社区,,划拨,0,,2020,2020年4月,2020/4/1,33708,1.25,42135,江苏省盐南高新技术产业开发区教育发展中心,,,,,,,,,,,,,,2020/12/1,2023/12/1
237,零售商业用地,盐城市,大丰市,江苏海博仓储物流有限公司,开发区污水处理厂西侧、南翔路北侧,40,挂牌,7102,,2020,2020年4月,2020/4/1,5356,0.7,3749.2,江苏海博仓储物流有限公司,,,,,,,,,,,,,,2021/3/31,2023/3/31
238,商务金融用地,盐城市,盐都区,商务设施用地,盐龙街道办事处秦川路东、鹿鸣路南,40,挂牌,20865.9851,,2020,2020年3月,2020/3/31,89209,2.5,223022.5,盐城市金业房地产发展有限公司,,,,,,,,,,,,,,2021/6/30,2024/6/29
240,公用设施用地,盐城市,阜宁县,希望小区配套设施,阜宁县阜城东大街北、城河东路南、希望路东,,划拨,0,,2020,2020年3月,2020/3/30,30821.7,1.7,52396.89,阜宁县建设投资有限公司,,,,,,,,,,,,,,2020/4/7,2022/4/7
246,教育用地,盐城市,亭湖区,盐城市亭湖区第一初级中学项目,盐城市亭湖经济开发区三洼村民委员会二组,,划拨,,,2020,2020年3月,2020/3/30,31862,0.83,26445.46,盐城市亭湖城市资产投资实业有限公司,,,,,,,,,,,,,,2020/10/30,2023/10/30
249,其他商服用地,盐城市,响水县,响水城市资产投资控股集团有限公司,北海路西侧，天马路南侧,40,挂牌,32830,,2020,2020年3月,2020/3/27,78898,2,157796,响水城市资产投资控股集团有限公司,,,,,,,,,,,,,,2020/10/26,2023/10/26
