编号,用途,省市,区县,宗地名称,宗地位置,出让年限,交易方式,成交价格(万元),溢价率,成交年份,成交年月,成交时间,出让面积,容积率,建筑面积（平方米）,受让单位,母公司,所属集团公司,建设单位,设计单位,施工单位,监理单位,开工时间,建设用地规划许可证,建设工程规划许可证,竣工时间,全装修要求,装配式建筑比例（%）,单体预制率,约定开工时间,约定竣工时间
1,工业用地,盐城市,东台市,保尔晏华园艺科技（江苏）有限公司,头灶镇四大沟西、八浅沟北侧,50,挂牌,513,,2020,2020年6月,2020/6/9,30000,1,30000,保尔晏华园艺科技（江苏）有限公司,,,,,,,,,,,,,,2021/2/9,2023/2/9
14,工业用地,盐城市,东台市,江苏辰顺精密科技有限公司,振兴路北、经十路西侧,50,挂牌,1307.214,,2020,2020年6月,2020/6/1,72623,1.2,87147.6,江苏辰顺精密科技有限公司,,,,,,,,,,,,,,2021/2/1,2021/8/1
31,工业用地,盐城市,阜宁县,阜宁协鑫郭墅风力发电有限公司,郭墅镇刘李村,50,挂牌,7,,2020,2020年5月,2020/5/27,349.96,1,349.96,阜宁协鑫郭墅风力发电有限公司,,,,,,,,,,,,,,2021/1/27,2023/1/27
32,工业用地,盐城市,阜宁县,阜宁协鑫郭墅风力发电有限公司,郭墅镇刘李村,50,挂牌,7,,2020,2020年5月,2020/5/27,349.96,1,349.96,阜宁协鑫郭墅风力发电有限公司,,,,,,,,,,,,,,2021/1/27,2023/1/27
33,工业用地,盐城市,阜宁县,阜宁协鑫郭墅风力发电有限公司,郭墅镇刘李村,50,挂牌,7,,2020,2020年5月,2020/5/27,349.96,1,349.96,阜宁协鑫郭墅风力发电有限公司,,,,,,,,,,,,,,2021/1/27,2023/1/27
34,工业用地,盐城市,阜宁县,阜宁协鑫郭墅风力发电有限公司,郭墅镇刘李村,50,挂牌,7,,2020,2020年5月,2020/5/27,349.96,1,349.96,阜宁协鑫郭墅风力发电有限公司,,,,,,,,,,,,,,2021/1/27,2023/1/27
35,工业用地,盐城市,阜宁县,阜宁协鑫郭墅风力发电有限公司,郭墅镇刘李村,50,挂牌,7,,2020,2020年5月,2020/5/27,349.96,1,349.96,阜宁协鑫郭墅风力发电有限公司,,,,,,,,,,,,,,2021/1/27,2023/1/27
36,工业用地,盐城市,阜宁县,阜宁协鑫郭墅风力发电有限公司,郭墅镇孙灶村,50,挂牌,7,,2020,2020年5月,2020/5/27,349.95,1,349.95,阜宁协鑫郭墅风力发电有限公司,,,,,,,,,,,,,,2021/1/27,2023/1/27
37,工业用地,盐城市,阜宁县,阜宁协鑫郭墅风力发电有限公司,郭墅镇唐城村,50,挂牌,7,,2020,2020年5月,2020/5/27,349.96,1,349.96,阜宁协鑫郭墅风力发电有限公司,,,,,,,,,,,,,,2021/1/27,2023/1/27
38,工业用地,盐城市,阜宁县,阜宁协鑫郭墅风力发电有限公司,郭墅镇孙灶村,50,挂牌,7,,2020,2020年5月,2020/5/27,349.96,1,349.96,阜宁协鑫郭墅风力发电有限公司,,,,,,,,,,,,,,2021/1/27,2023/1/27
39,工业用地,盐城市,阜宁县,阜宁协鑫郭墅风力发电有限公司,郭墅镇唐城村,50,挂牌,7,,2020,2020年5月,2020/5/27,349.96,1,349.96,阜宁协鑫郭墅风力发电有限公司,,,,,,,,,,,,,,2021/1/27,2023/1/27
40,工业用地,盐城市,阜宁县,阜宁协鑫郭墅风力发电有限公司,郭墅镇唐城村,50,挂牌,7,,2020,2020年5月,2020/5/27,349.96,1,349.96,阜宁协鑫郭墅风力发电有限公司,,,,,,,,,,,,,,2021/1/27,2023/1/27
41,工业用地,盐城市,阜宁县,阜宁协鑫郭墅风力发电有限公司,郭墅镇沙河村,50,挂牌,7,,2020,2020年5月,2020/5/27,349.96,1,349.96,阜宁协鑫郭墅风力发电有限公司,,,,,,,,,,,,,,2021/1/27,2023/1/27
60,工业用地,盐城市,大丰市,江苏金风科技有限公司,大丰港物流园区中南汇东侧、二期码头望海楼南侧,50,挂牌,773.69,,2020,2020年5月,2020/5/21,39676,1.2,47611.2,江苏金风科技有限公司,,,,,,,,,,,,,,2021/5/20,2023/5/20
61,工业用地,盐城市,阜宁县,江苏美凯奥纺织科技有限公司,花园街道办事处新丰居委会,50,挂牌,397,,2020,2020年5月,2020/5/20,18232.38,2,36464.76,江苏美凯奥纺织科技有限公司,,,,,,,,,,,,,,2020/12/30,2022/12/30
62,工业用地,盐城市,阜宁县,江苏宸彩钜创科技发展有限公司,郭墅镇孙郑居委会,50,挂牌,430,,2020,2020年5月,2020/5/20,20078.1,2,40156.2,江苏宸彩钜创科技发展有限公司,,,,,,,,,,,,,,2021/1/20,2023/1/20
63,仓储用地,盐城市,阜宁县,阜宁恒源电气实业有限公司,花园街道办事处新丰居委会,50,挂牌,428,,2020,2020年5月,2020/5/20,19617.4,2,39234.8,阜宁恒源电气实业有限公司,,,,,,,,,,,,,,2021/1/20,2023/1/20
64,工业用地,盐城市,阜宁县,江苏希德风光电设备科技有限公司,花园街道办事处新丰居委会,50,挂牌,127,,2020,2020年5月,2020/5/20,5837.46,2,11674.92,江苏希德风光电设备科技有限公司,,,,,,,,,,,,,,2021/1/20,2023/1/20
65,仓储用地,盐城市,阜宁县,阜宁恒源电气实业有限公司,花园街道办事处新丰居委会,50,挂牌,124,,2020,2020年5月,2020/5/20,5680.2,2,11360.4,阜宁恒源电气实业有限公司,,,,,,,,,,,,,,2021/1/20,2023/1/20
66,工业用地,盐城市,阜宁县,阜宁协鑫郭墅风力发电有限公司,郭墅镇孙郑居委会,50,挂牌,7,,2020,2020年5月,2020/5/20,349.96,1,349.96,阜宁协鑫郭墅风力发电有限公司,,,,,,,,,,,,,,2021/1/20,2023/1/20
67,工业用地,盐城市,阜宁县,阜宁协鑫郭墅风力发电有限公司,郭墅镇张庄村,50,挂牌,7,,2020,2020年5月,2020/5/20,349.96,1,349.96,阜宁协鑫郭墅风力发电有限公司,,,,,,,,,,,,,,2021/1/20,2023/1/20
68,工业用地,盐城市,阜宁县,阜宁协鑫郭墅风力发电有限公司,郭墅镇沙河村,50,挂牌,7,,2020,2020年5月,2020/5/20,349.96,1,349.96,阜宁协鑫郭墅风力发电有限公司,,,,,,,,,,,,,,2021/1/20,2023/1/20
69,工业用地,盐城市,阜宁县,阜宁协鑫郭墅风力发电有限公司,郭墅镇沙河村,50,挂牌,7,,2020,2020年5月,2020/5/20,349.96,1,349.96,阜宁协鑫郭墅风力发电有限公司,,,,,,,,,,,,,,2021/1/20,2023/1/20
70,工业用地,盐城市,阜宁县,阜宁协鑫郭墅风力发电有限公司,郭墅镇沙河村,50,挂牌,7,,2020,2020年5月,2020/5/20,349.96,1,349.96,阜宁协鑫郭墅风力发电有限公司,,,,,,,,,,,,,,2021/1/20,2023/1/20
75,工业用地,盐城市,阜宁县,江苏鑫鹏工业用布有限公司,现代服务业园区新丰居委会,50,挂牌,107,,2020,2020年5月,2020/5/18,4912.57,2,9825.14,江苏鑫鹏工业用布有限公司,,,,,,,,,,,,,,2020/12/28,2022/12/28
76,工业用地,盐城市,阜宁县,盐城恒旺彩印包装有限公司,现代服务业园区新丰居委会,50,挂牌,85,,2020,2020年5月,2020/5/18,3908.87,2,7817.74,盐城恒旺彩印包装有限公司,,,,,,,,,,,,,,2020/12/28,2022/12/28
77,工业用地,盐城市,阜宁县,阜宁县罗桥阜香园糕点厂,罗桥镇沿街村,50,挂牌,83,,2020,2020年5月,2020/5/18,3962.15,2,7924.3,阜宁县罗桥阜香园糕点厂,,,,,,,,,,,,,,2020/12/28,2022/12/28
78,工业用地,盐城市,阜宁县,盐城程锦服饰有限公司,古河镇古河居委会,50,挂牌,79,,2020,2020年5月,2020/5/18,3782.7,2,7565.4,盐城程锦服饰有限公司,,,,,,,,,,,,,,2020/12/28,2022/12/28
79,工业用地,盐城市,阜宁县,阜宁鹏晔机械制造有限公司,罗桥镇沿街村,50,挂牌,70,,2020,2020年5月,2020/5/18,3333.34,2,6666.68,阜宁鹏晔机械制造有限公司,,,,,,,,,,,,,,2020/12/28,2022/12/28
80,工业用地,盐城市,阜宁县,阜宁洁益金属制品有限公司,罗桥镇沿街村,50,挂牌,70,,2020,2020年5月,2020/5/18,3333.31,2,6666.62,阜宁洁益金属制品有限公司,,,,,,,,,,,,,,2020/12/28,2022/12/28
81,工业用地,盐城市,阜宁县,江苏好瑞科技有限公司,罗桥镇沿街村,50,挂牌,70,,2020,2020年5月,2020/5/18,3316.52,2,6633.04,江苏好瑞科技有限公司,,,,,,,,,,,,,,2020/12/28,2022/12/28
82,工业用地,盐城市,阜宁县,阜宁十戒环保科技有限公司,古河镇古河居委会,50,挂牌,64,,2020,2020年5月,2020/5/18,3066.01,2,6132.02,阜宁十戒环保科技有限公司,,,,,,,,,,,,,,2020/12/28,2022/12/28
83,工业用地,盐城市,阜宁县,盐城福安设备安装有限公司,陈良镇成俊村,50,挂牌,21,,2020,2020年5月,2020/5/18,995.07,2,1990.14,盐城福安设备安装有限公司,,,,,,,,,,,,,,2020/12/28,2022/12/28
84,工业用地,盐城市,阜宁县,盐城淇岸环境科技有限公司,阜宁高新技术产业开发区马河村,50,挂牌,9,,2020,2020年5月,2020/5/18,428.99,1,428.99,盐城淇岸环境科技有限公司,,,,,,,,,,,,,,2020/12/28,2022/12/28
86,工业用地,盐城市,射阳县,盐城金澜纺织有限公司,射阳县千秋镇合八路东侧,50,挂牌,806.4412,,2020,2020年5月,2020/5/18,55235.7,2.5,138089.25,盐城金澜纺织有限公司,,,,,,,,,,,,,,2021/7/27,2023/7/26
87,工业用地,盐城市,射阳县,盐城广合探伤设备有限公司,射阳县合德镇春晖路北侧、盛莱普东侧,50,挂牌,408.799,,2020,2020年5月,2020/5/18,24047,2.5,60117.5,盐城广合探伤设备有限公司,,,,,,,,,,,,,,2021/7/27,2023/7/26
88,工业用地,盐城市,射阳县,盐城润鸿经编有限公司,射阳县合德镇工业园区兴业路北侧、科治科技有限公司西侧,50,挂牌,335.232,,2020,2020年5月,2020/5/18,17460,2.5,43650,盐城润鸿经编有限公司,,,,,,,,,,,,,,2021/7/27,2023/7/26
89,工业用地,盐城市,射阳县,天能炭素（江苏）有限公司,射阳港经济开发区普鲁泰克西侧,50,挂牌,394.6716,,2020,2020年5月,2020/5/18,26667,2.5,66667.5,天能炭素（江苏）有限公司,,,,,,,,,,,,,,2021/7/27,2023/7/26
90,工业用地,盐城市,东台市,光伏部件及金属制品生产线技改项目,时堰镇先锋河西、鑫阳一期南侧,50,挂牌,89.376,,2020,2020年5月,2020/5/15,5320,1,5320,东台市鑫阳热镀锌有限公司,,,,,,,,,,,,,,2021/1/15,2022/1/15
91,工业用地,盐城市,东台市,紧固仓盟（江苏）科技有限公司,东台市溱东新材料装备产业园（开庄分区）,50,挂牌,1522.0761,,2020,2020年5月,2020/5/14,20001,1,20001,紧固仓盟(江苏)科技有限公司,,,,,,,,,,,,,,2021/1/12,2023/1/12
92,工业用地,盐城市,东台市,东台市甫光玩具有限公司,富安镇富东工业集中区,50,挂牌,113.3046,,2020,2020年5月,2020/5/14,6626,1.2,7951.2,东台市甫光玩具有限公司,,,,,,,,,,,,,,2021/1/14,2022/1/14
93,工业用地,盐城市,东台市,业美智能电子科技（东台）有限公司,安丰镇丰富一路南侧,50,挂牌,337.2462,,2020,2020年5月,2020/5/14,19722,1,19722,业美智能电子科技(东台)有限公司,,,,,,,,,,,,,,2021/1/14,2022/1/14
96,工业用地,盐城市,响水县,响水万银食品有限公司,326省道南侧、南大线西侧,50,挂牌,216,,2020,2020年5月,2020/5/13,11591,1.2,13909.2,响水万银食品有限公司,,,,,,,,,,,,,,2020/12/10,2023/12/10
97,工业用地,盐城市,大丰市,格林豪博实业（江苏）有限公司,开发区南环路南侧、胜利河西侧,50,挂牌,651.27,,2020,2020年5月,2020/5/13,33398,2,66796,格林豪博实业（江苏）有限公司,,,,,,,,,,,,,,2021/5/12,2023/5/12
99,工业用地,盐城市,东台市,江苏铨华锯业有限公司,老204国道西侧、八引河南侧,50,挂牌,90.144,,2020,2020年5月,2020/5/11,5008,1.2,6009.6,江苏铨华锯业有限公司,,,,,,,,,,,,,,2021/1/11,2023/1/11
100,工业用地,盐城市,东台市,东台通能电子有限公司,经八路东侧、九里沟北侧,50,挂牌,347.346,,2020,2020年5月,2020/5/11,19297,1.05,20261.85,东台通能电子有限公司,,,,,,,,,,,,,,2021/1/11,2023/1/11
101,工业用地,盐城市,东台市,东台通能电子有限公司,经八路东侧、九里沟北侧,50,挂牌,131.544,,2020,2020年5月,2020/5/11,7308,1.05,7673.4,东台通能电子有限公司,,,,,,,,,,,,,,2021/1/11,2023/1/11
102,工业用地,盐城市,东台市,东台唯佳科技有限责任公司,经八路东侧、九里沟北侧,50,挂牌,131.544,,2020,2020年5月,2020/5/11,7308,1.05,7673.4,东台唯佳科技有限责任公司,,,,,,,,,,,,,,2021/1/11,2023/1/11
103,工业用地,盐城市,东台市,东台唯佳科技有限责任公司,经八路东侧、九里沟北侧,50,挂牌,166.428,,2020,2020年5月,2020/5/11,9246,1.05,9708.3,东台唯佳科技有限责任公司,,,,,,,,,,,,,,2021/1/11,2023/1/11
104,工业用地,盐城市,东台市,江苏瀚隆家纺有限公司,梁垛镇梁垛村,43.6,挂牌,37.502,,2020,2020年5月,2020/5/11,2206,1,2206,江苏瀚隆家纺有限公司,,,,,,,,,,,,,,2021/1/11,2022/1/11
105,工业用地,盐城市,建湖县,建湖贝斯特液压机械有限公司年产5000支液压油缸项目,建阳镇马厂村三组,50,挂牌,41.656,,2020,2020年5月,2020/5/10,2032,1.2,2438.4,建湖贝斯特液压机械有限公司,,,,,,,,,,,,,,2021/5/31,2023/5/30
106,工业用地,盐城市,建湖县,建湖鼎杰仪表阀门有限公司年产40000台（套）一体化五阀组项目,建阳镇马厂村三组,50,挂牌,39.0935,,2020,2020年5月,2020/5/10,1907,1.2,2288.4,建湖鼎杰仪表阀门有限公司,,,,,,,,,,,,,,2021/5/31,2023/5/30
107,工业用地,盐城市,建湖县,盐城市钰柱机械有限公司年产2500件防喷器及2000台（套）阀门项目,建阳镇马厂村三组,50,挂牌,107.912,,2020,2020年5月,2020/5/10,5264,1.5,7896,盐城市钰柱机械有限公司,,,,,,,,,,,,,,2021/5/31,2023/5/30
108,工业用地,盐城市,建湖县,建湖顺旭机械制造有限公司年产10000台（套）石油机械配件技改项目,建阳镇马厂村三组,50,挂牌,85.772,,2020,2020年5月,2020/5/10,4184,1.5,6276,建湖顺旭机械制造有限公司,,,,,,,,,,,,,,2021/4/29,2023/4/28
109,工业用地,盐城市,建湖县,盐城汇鸿供水设备有限公司年产300台（套）生活给排水设备、300台（套）消防给排水设备及300台（套）水处理设备项目,建阳镇马厂村三组,50,挂牌,89.4005,,2020,2020年5月,2020/5/10,4361,1.5,6541.5,盐城汇鸿供水设备有限公司,,,,,,,,,,,,,,2021/5/31,2023/5/30
110,工业用地,盐城市,建湖县,盐城澳浪机械有限公司年产5万件液压管件及4万件法兰项目,建阳镇马厂村三组,50,挂牌,88.396,,2020,2020年5月,2020/5/10,4312,1.2,5174.4,盐城澳浪机械有限公司,,,,,,,,,,,,,,2021/5/31,2023/5/30
111,工业用地,盐城市,建湖县,建湖县明鑫石化机械有限公司年产15万件液压管件及2万件工程机械配件项目,建阳镇马厂村三组,50,挂牌,86.551,,2020,2020年5月,2020/5/10,4222,1.2,5066.4,建湖县明鑫石化机械有限公司,,,,,,,,,,,,,,2021/5/31,2023/5/30
112,工业用地,盐城市,建湖县,江苏恒隆酒店用品有限公司年产70万箱酒店配套用品（餐用保温器等）项目,建阳镇瓦瓷村一组,50,挂牌,376.4005,,2020,2020年5月,2020/5/10,18361,1.5,27541.5,江苏恒隆酒店用品有限公司,,,,,,,,,,,,,,2021/5/31,2023/5/30
113,工业用地,盐城市,建湖县,江苏中环重工有限公司年产100台（套）环保设备项目,建阳镇瓦瓷村二组,50,挂牌,86.592,,2020,2020年5月,2020/5/10,4224,1.5,6336,江苏中环重工有限公司,,,,,,,,,,,,,,2021/5/31,2023/5/30
