编号,用途,省市,区县,宗地名称,宗地位置,出让年限,交易方式,起始价（万元）,成交价格(万元),溢价率,成交年份,成交年月,成交时间,出让面积,容积率,容积,率,建筑面积（平方米）,受让单位,母公司,所属集团公司,建设单位,设计单位,施工单位,监理单位,开工时间,建设用地规划许可证,建设工程规划许可证,竣工时间,全装修要求,装配式建筑比例（%）,单体预制率,约定开工时间,约定竣工时间
1,工业用地,盐城市,东台市,保尔晏华园艺科技（江苏）有限公司,头灶镇四大沟西、八浅沟北侧,50,挂牌出让,,513,,2020,2020年6月,2020年6月9日,30000,1,1,1,,保尔晏华园艺科技（江苏）有限公司,,,,,,,,,,,,,,2021年2月9日,2023年2月9日
2,城镇住宅用地,盐城市,射阳县,开发区人民法院北侧地块,开发区人民法院北侧地块,70,挂牌出让,,657,,2020,2020年6月,2020年6月9日,3664,1.001.50,1,1.5,,淮安鑫鼎置业有限公司,,,,,,,,,,,,,,2021年4月9日,2024年4月9日
3,旅馆用地,盐城市,东台市,东台市海滨投资发展有限公司,东台市沿海经济区服务中心、迎宾路西侧,40,挂牌出让,,182.286,,2020,2020年6月,2020年6月5日,4797,1.5,1.5,1.5,,东台市海滨投资发展有限公司,,,,,,,,,,,,,,2021年3月5日,2024年3月4日
4,其他商服用地,盐城市,亭湖区,盐城大洋湾生态旅游景区有限公司,盐城市亭湖区南洋镇民航村四组,40,挂牌出让,,321.112,,2020,2020年6月,2020年6月4日,1804,0.101.00,0.1,1,,盐城大洋湾生态旅游景区有限公司,,,,,,,,,,,,,,2021年6月4日,2024年6月4日
5,其他商服用地,盐城市,亭湖区,盐城大洋湾生态旅游景区有限公司,盐城市亭湖区南洋镇新洋村,40,挂牌出让,,104.027,,2020,2020年6月,2020年6月4日,539,0.101.20,0.1,1.2,,盐城大洋湾生态旅游景区有限公司,,,,,,,,,,,,,,2021年6月4日,2024年6月4日
6,其他商服用地,盐城市,亭湖区,盐城大洋湾生态旅游景区有限公司,盐城市亭湖区南洋镇民航村四组,40,挂牌出让,,1411.54,,2020,2020年6月,2020年6月4日,7930,0.101.00,0.1,1,,盐城大洋湾生态旅游景区有限公司,,,,,,,,,,,,,,2021年6月4日,2024年6月4日
7,其他商服用地,盐城市,亭湖区,盐城大洋湾生态旅游景区有限公司,盐城市亭湖区南洋镇民航村四组,40,挂牌出让,,551.622,,2020,2020年6月,2020年6月4日,3099,0.101.00,0.1,1,,盐城大洋湾生态旅游景区有限公司,,,,,,,,,,,,,,2021年6月4日,2024年6月4日
8,城镇住宅用地,盐城市,亭湖区,盐城易汇地产有限公司,盐城市亭湖经济开发区三洼村民委员会二组,70,挂牌出让,,15093.45,,2020,2020年6月,2020年6月4日,67082,1.001.80,1,1.8,,盐城易汇地产有限公司,,,,,,,,,,,,,,2021年6月4日,2024年6月4日
9,盐田,盐城市,射阳县,射阳盐场海堤公路东侧地块二,射阳盐场海堤公路东侧地块二,50,协议出让,,9872.4932,,2020,2020年6月,2020年6月3日,3404308,,,1,,江苏银宝控股集团有限公司,,,,,,,,,,,,,,2020年12月3日,2022年12月2日
10,盐田,盐城市,射阳县,射阳盐场海堤公路东侧地块十二,射阳盐场海堤公路东侧地块十二,50,协议出让,,2651.9775,,2020,2020年6月,2020年6月2日,914475,,,1,,江苏银宝控股集团有限公司,,,,,,,,,,,,,,2020年12月2日,2022年12月1日
11,盐田,盐城市,射阳县,射阳盐场海堤公路东侧地块十,射阳盐场海堤公路东侧地块十,50,协议出让,,5404.4052,,2020,2020年6月,2020年6月2日,1863588,,,1,,江苏银宝控股集团有限公司,,,,,,,,,,,,,,2020年12月2日,2022年12月1日
12,盐田,盐城市,射阳县,射阳盐城海堤公路东侧地块七,射阳盐场海堤公路东侧地块七,50,协议出让,,5135.4592,,2020,2020年6月,2020年6月2日,1770848,,,1,,江苏银宝控股集团有限公司,,,,,,,,,,,,,,2020年12月2日,2022年12月1日
13,盐田,盐城市,射阳县,射阳盐场海堤公路东侧地块六,射阳盐场海堤公路东侧地块六,50,协议出让,,3563.7578,,2020,2020年6月,2020年6月2日,1228882,,,1,,江苏银宝控股集团有限公司,,,,,,,,,,,,,,2020年10月2日,2022年10月1日
14,工业用地,盐城市,东台市,江苏辰顺精密科技有限公司,振兴路北、经十路西侧,50,挂牌出让,,1307.214,,2020,2020年6月,2020年6月1日,72623,1.2,1.2,1.2,,江苏辰顺精密科技有限公司,,,,,,,,,,,,,,2021年2月1日,2021年8月1日
15,盐田,盐城市,射阳县,射阳盐场海堤公路西侧地块十一,射阳盐场海堤公路西侧地块十一,50,协议出让,,42.0558,,2020,2020年5月,2020年5月29日,14502,,,1,,江苏银宝控股集团有限公司,,,,,,,,,,,,,,2020年11月29日,2022年11月28日
16,公用设施用地,盐城市,盐都区,盐城市盐都区冈中养护工区项目,盐都区盐渎街道,,划拨,,,,2020,2020年5月,2020年5月29日,6676,0.5,0.5,0.5,,盐城市盐都区交通运输局,,,,,,,,,,,,,,2020年9月1日,2021年8月31日
17,盐田,盐城市,射阳县,射阳盐场海堤公路西侧地块二十二,射阳盐场海堤公路西侧地块二十二,50,协议出让,,1505.1841,,2020,2020年5月,2020年5月29日,519029,,,1,,江苏银宝控股集团有限公司,,,,,,,,,,,,,,2020年11月29日,2022年11月28日
18,公用设施用地,盐城市,盐都区,盐都区滨湖养护工区项目,盐都区滨湖街道,,划拨,,,,2020,2020年5月,2020年5月29日,6666,0.5,0.5,0.5,,盐城市盐都交通运输局,,,,,,,,,,,,,,2020年9月1日,2021年8月31日
19,公用设施用地,盐城市,盐都区,盐城市盐都区生活垃圾分拣中心项目,盐都区郭猛镇,,划拨,,,,2020,2020年5月,2020年5月29日,13356,0.5,0.5,0.5,,盐城市盐都区城市管理局,,,,,,,,,,,,,,2020年9月21日,2021年9月20日
20,盐田,盐城市,射阳县,射阳盐场海堤公路西侧地块二十三,射阳盐场海堤公路西侧地块二十三,50,协议出让,,3569.8739,,2020,2020年5月,2020年5月29日,1230991,,,1,,江苏银宝控股集团有限公司,,,,,,,,,,,,,,2020年11月29日,2022年11月28日
21,公用设施用地,盐城市,盐都区,盐城市盐都区建筑垃圾调剂场项目,盐都区盐渎街道,,划拨,,,,2020,2020年5月,2020年5月29日,12000,0.5,0.5,0.5,,盐城市盐都区城市管理局,,,,,,,,,,,,,,2020年9月21日,2021年9月20日
22,盐田,盐城市,射阳县,射阳盐场海堤公路西侧地块十五,射阳盐城海堤公路西侧地块十五,50,协议出让,,146.0904,,2020,2020年5月,2020年5月29日,50376,,,1,,江苏银宝控股集团有限公司,,,,,,,,,,,,,,2020年11月29日,2022年11月28日
23,盐田,盐城市,射阳县,射阳盐场海堤公路西侧地块十九,射阳盐场海堤公路西侧地块十九,50,协议出让,,611.6564,,2020,2020年5月,2020年5月29日,210916,,,1,,江苏银宝控股集团有限公司,,,,,,,,,,,,,,2020年11月29日,2022年11月28日
24,娱乐用地,盐城市,亭湖区,盐城大洋湾生态旅游景区有限公司,盐城市亭湖区南洋镇新洋村八组,40,挂牌出让,,2659.498,,2020,2020年5月,2020年5月28日,14941,0.101.00,0.1,1,,盐城大洋湾生态旅游景区有限公司,,,,,,,,,,,,,,2021年5月28日,2024年5月28日
25,其他商服用地,盐城市,亭湖区,盐城大洋湾生态旅游景区有限公司,盐城市亭湖区南洋镇民航村四组,40,挂牌出让,,1382.17,,2020,2020年5月,2020年5月28日,7765,0.101.00,0.1,1,,盐城大洋湾生态旅游景区有限公司,,,,,,,,,,,,,,2021年5月28日,2024年5月28日
26,文化设施用地,盐城市,亭湖区,盐城大洋湾生态旅游景区有限公司,盐城市亭湖区南洋镇民航村四组,50,挂牌出让,,2000.72,,2020,2020年5月,2020年5月28日,11240,0.101.00,0.1,1,,盐城大洋湾生态旅游景区有限公司,,,,,,,,,,,,,,2021年5月28日,2024年5月28日
27,其他商服用地,盐城市,亭湖区,盐城大洋湾生态旅游景区有限公司,盐城市亭湖区南洋镇新洋村八组,40,挂牌出让,,286.224,,2020,2020年5月,2020年5月28日,1608,0.101.00,0.1,1,,盐城大洋湾生态旅游景区有限公司,,,,,,,,,,,,,,2021年5月28日,2024年5月28日
28,盐田,盐城市,射阳县,射阳盐场海堤公路西侧地块十四,射阳盐场海堤公路西侧地块十四,50,协议出让,,4320.2228,,2020,2020年5月,2020年5月28日,1489732,,,1,,江苏银宝控股集团有限公司,,,,,,,,,,,,,,2020年11月28日,2022年11月27日
29,盐田,盐城市,射阳县,射阳盐场海堤公路西侧地块十二,射阳盐场海堤公路西侧地块十二,50,协议出让,,3283.8556,,2020,2020年5月,2020年5月28日,1132364,,,1,,江苏银宝控股集团有限公司,,,,,,,,,,,,,,2020年11月28日,2022年11月27日
30,盐田,盐城市,射阳县,射阳盐场海堤公路西侧地块十三,射阳盐场海堤公路西侧地块十三,50,协议出让,,115.0111,,2020,2020年5月,2020年5月28日,39659,,,1,,江苏银宝控股集团有限公司,,,,,,,,,,,,,,2020年11月28日,2022年11月27日
31,工业用地,盐城市,阜宁县,阜宁协鑫郭墅风力发电有限公司,郭墅镇刘李村,50,挂牌出让,,7,,2020,2020年5月,2020年5月27日,349.96,1,1,1,,阜宁协鑫郭墅风力发电有限公司,,,,,,,,,,,,,,2021年1月27日,2023年1月27日
32,工业用地,盐城市,阜宁县,阜宁协鑫郭墅风力发电有限公司,郭墅镇刘李村,50,挂牌出让,,7,,2020,2020年5月,2020年5月27日,349.96,1,1,1,,阜宁协鑫郭墅风力发电有限公司,,,,,,,,,,,,,,2021年1月27日,2023年1月27日
33,工业用地,盐城市,阜宁县,阜宁协鑫郭墅风力发电有限公司,郭墅镇刘李村,50,挂牌出让,,7,,2020,2020年5月,2020年5月27日,349.96,1,1,1,,阜宁协鑫郭墅风力发电有限公司,,,,,,,,,,,,,,2021年1月27日,2023年1月27日
34,工业用地,盐城市,阜宁县,阜宁协鑫郭墅风力发电有限公司,郭墅镇刘李村,50,挂牌出让,,7,,2020,2020年5月,2020年5月27日,349.96,1,1,1,,阜宁协鑫郭墅风力发电有限公司,,,,,,,,,,,,,,2021年1月27日,2023年1月27日
35,工业用地,盐城市,阜宁县,阜宁协鑫郭墅风力发电有限公司,郭墅镇刘李村,50,挂牌出让,,7,,2020,2020年5月,2020年5月27日,349.96,1,1,1,,阜宁协鑫郭墅风力发电有限公司,,,,,,,,,,,,,,2021年1月27日,2023年1月27日
36,工业用地,盐城市,阜宁县,阜宁协鑫郭墅风力发电有限公司,郭墅镇孙灶村,50,挂牌出让,,7,,2020,2020年5月,2020年5月27日,349.95,1,1,1,,阜宁协鑫郭墅风力发电有限公司,,,,,,,,,,,,,,2021年1月27日,2023年1月27日
37,工业用地,盐城市,阜宁县,阜宁协鑫郭墅风力发电有限公司,郭墅镇唐城村,50,挂牌出让,,7,,2020,2020年5月,2020年5月27日,349.96,1,1,1,,阜宁协鑫郭墅风力发电有限公司,,,,,,,,,,,,,,2021年1月27日,2023年1月27日
38,工业用地,盐城市,阜宁县,阜宁协鑫郭墅风力发电有限公司,郭墅镇孙灶村,50,挂牌出让,,7,,2020,2020年5月,2020年5月27日,349.96,1,1,1,,阜宁协鑫郭墅风力发电有限公司,,,,,,,,,,,,,,2021年1月27日,2023年1月27日
39,工业用地,盐城市,阜宁县,阜宁协鑫郭墅风力发电有限公司,郭墅镇唐城村,50,挂牌出让,,7,,2020,2020年5月,2020年5月27日,349.96,1,1,1,,阜宁协鑫郭墅风力发电有限公司,,,,,,,,,,,,,,2021年1月27日,2023年1月27日
40,工业用地,盐城市,阜宁县,阜宁协鑫郭墅风力发电有限公司,郭墅镇唐城村,50,挂牌出让,,7,,2020,2020年5月,2020年5月27日,349.96,1,1,1,,阜宁协鑫郭墅风力发电有限公司,,,,,,,,,,,,,,2021年1月27日,2023年1月27日
41,工业用地,盐城市,阜宁县,阜宁协鑫郭墅风力发电有限公司,郭墅镇沙河村,50,挂牌出让,,7,,2020,2020年5月,2020年5月27日,349.96,1,1,1,,阜宁协鑫郭墅风力发电有限公司,,,,,,,,,,,,,,2021年1月27日,2023年1月27日
