行政区,项目名称,项目位置,面积(公顷),土地用途,供地方式,土地使用年限,行业分类,成交价格(万元),土地使用权人,约定容积率,合同签订日期,约定开工时间,约定竣工时间
五河县,西凌安置区三期,城南新区兴淮路南侧，青年南路东侧,5.2107,城镇住宅用地,挂牌出让,70,房地产业,8650,五河县恒信投资有限公司,1.002.30,2020年7月1日,2021年3月24日,2023年3月24日
五河县,西凌安置区一二期,城南新区兴浍路北侧，兴淮路南侧，青年南路东侧,6.8007,城镇住宅用地,挂牌出让,70,工程准备,11280,五河县城市建设投资经营有限责任公司,1.002.30,2020年7月1日,2021年3月24日,2023年3月24日
蚌埠市本级,居住用地,龙子湖区凤阳路北侧、龙河路东侧,5.28379,城镇住宅用地,拍卖出让,70,房地产业,26600,蚌埠市碧祥房地产开发有限公司,1.001.80,2020年6月24日,2020年12月18日,2022年12月18日
蚌埠市本级,秦集镇农民安置小区B地块项目,禹会区兴华路南侧、黄山大道东侧,5.176102,城镇住宅用地,划拨,,房地产业,,蚌埠禹会建设投资有限责任公司,1.003.00,2020年6月24日,2021年1月6日,2023年1月5日
固镇县,安徽丰原农业发展有限公司烘干仓储项目,丰原农业西侧，孟庙村耕地东侧。,2.38924,仓储用地,挂牌出让,50,仓储业,378,安徽丰原农业发展有限公司,1,2020年6月18日,2021年2月18日,2022年2月18日
怀远县,河溜新村棚户区改造,怀远县河溜林场,0.54195,社会福利用地,划拨,,社会福利业,,淮南矿业（集团）有限责任公司,1,2020年6月17日,2018年8月16日,2020年6月20日
蚌埠市本级,蚌山区光电产业园,中环线北侧、朝阳南路西侧,6.2173,工业用地,挂牌出让,50,通讯设备、计算机及其他电子设备制造业,1688,蚌埠市中盛建设发展有限责任公司,1,2020年6月17日,2020年12月2日,2022年6月2日
蚌埠市本级,居住用地,淮上区朝阳北路东侧、双墩路北侧,2.790207,城镇住宅用地,拍卖出让,70,房地产业,19900,蚌埠城房京开置业有限公司,1.002.00,2020年6月17日,2020年11月21日,2022年11月21日
蚌埠市本级,食品双创产业园,禹会区黄山大道以西、秦集路以北,6.446316,工业用地,挂牌出让,50,食品制造业,1750,蚌埠城禹开发建设有限责任公司,1,2020年6月17日,2020年12月2日,2022年6月2日
蚌埠市本级,居住用地,蚌山区延安路西侧、货场八路北侧,12.442937,城镇住宅用地,拍卖出让,70,房地产业,80000,蚌埠融建置业有限公司,1.001.50,2020年6月16日,2020年11月21日,2022年11月21日
蚌埠市本级,居住用地,蚌山区胜利中路北侧、太平街西侧,1.618341,城镇住宅用地,拍卖出让,70,房地产业,15650,蚌埠市金海置业有限公司,1.001.80,2020年6月16日,2020年11月21日,2022年11月21日
蚌埠市本级,永康苑（B块）农民安置房,淮上区永安街东侧、小蚌埠H1路北侧,5.781853,城镇住宅用地,划拨,,房地产业,,蚌埠市淮翼建设发展有限公司,1.002.20,2020年6月16日,2020年9月21日,2022年9月21日
怀远县,河溜新村棚户区改造,怀远县河溜林场,0.716,社会福利用地,划拨,,社会福利业,,淮南矿业（集团）有限责任公司,1,2020年6月16日,2018年6月16日,2020年6月16日
固镇县,国家增量配电业务改革试点项目,蚌铜产业园十二号路西、十六号路南。,1.02359,公用设施用地,挂牌出让,50,火力发电,153,蚌埠新奥智源能源发展有限公司,0.8,2020年6月9日,2021年2月9日,2022年8月9日
