编号,用途,省市,区县,宗地名称,宗地位置,出让年限,交易方式,成交价格(万元),溢价率,成交年份,成交年月,成交时间,出让面积,出让面积,容积率,建筑面积,受让单位,母公司,所属集团公司,建设单位,设计单位,施工单位,监理单位,开工时间,建设用地规划许可证,建设工程规划许可证,竣工时间,全装修要求,装配式建筑比例（%）,单体预制率,约定开工时间,约定竣工时间
1,零售商业用地,连云港市,连云区,连云新城加油站项目,连云区连云新城盐城路东、秦皇岛路北,40,挂牌,9180,,2020,2020年6月,2020年6月3日,0.4163,4163,0.3,1248.9,中国石化销售股份有限公司江苏连云港石油分公司,,,,,,,,,,,,,,2021年4月3日,2023年4月2日
2,铁路用地,连云港市,连云区,陇海通道连云港段客运增量工程,连云区平山路北、陇海铁路东,,划拨,0,,2020,2020年5月,2020年5月29日,0.5976,5976,1,5976,连云港市智慧城市轨道交通工程有限公司,,,,,,,,,,,,,,2020年5月29日,2021年5月25日
3,公用设施用地,连云港市,灌云县,灌云县伊甸园景区建设工程（三期）,灌云县伊山镇境内,,划拨,,,2020,2020年5月,2020年5月29日,3.1173,31173,1.2,37407.6,灌云县伊山镇人民政府,,,,,,,,,,,,,,2020年6月9日,2022年6月9日
4,城镇村道路用地,连云港市,连云区,市区景区互通连接线（连云港市陇海线K16+619沙集道口平改立工程）项目,连云港连云区,,划拨,,,2020,2020年5月,2020年5月28日,0.977,9770,1,9770,连云港市科晶建设有限公司,,,,,,,,,,,,,,2020年5月29日,2020年6月30日
5,工业用地,连云港市,灌南县,产业大道北侧地块,堆沟港镇十队村,30,挂牌,2138.4,,2020,2020年5月,2020年5月27日,12.2891,122891,1.2,147469.2,连云港兴鑫钢铁有限公司,,,,,,,,,,,,,,2020年11月26日,2022年11月26日
6,工业用地,连云港市,东海县,工业化装配式混凝土预制构件一期工程项目,东海开发区黄河路南侧、新二四五省道西侧,50,挂牌,2404,,2020,2020年5月,2020年5月26日,7.6322,76322,1,76322,连云港中砼新型建筑科技有限公司,,,,,,,,,,,,,,2020年6月26日,2021年6月25日
7,工业用地,连云港市,赣榆区,连云港锦艺新材料科技有限公司,厉庄镇厉庄村,50,挂牌,255,,2020,2020年5月,2020年5月19日,0.9766,9766,0.8,7812.8,连云港锦艺新材料科技有限公司,,,,,,,,,,,,,,2020年6月30日,2022年6月30日
8,工业用地,连云港市,赣榆区,连云港中汇矿业有限公司,柘汪临港产业区,50,挂牌,846,,2020,2020年5月,2020年5月19日,3.3428,33428,0.7,23399.6,连云港中汇矿业有限公司,,,,,,,,,,,,,,2020年6月30日,2022年6月30日
9,工业用地,连云港市,赣榆区,连云港德旺斯电子科技有限公司,厉庄镇翔凤岭村,50,挂牌,577,,2020,2020年5月,2020年5月19日,2.3215,23215,0.8,18572,连云港德旺斯电子科技有限公司,,,,,,,,,,,,,,2020年6月30日,2022年6月30日
10,工业用地,连云港市,赣榆区,江苏紫竹医疗科技有限公司,厉庄镇翔凤岭村,50,挂牌,555,,2020,2020年5月,2020年5月19日,2.3409,23409,0.8,18727.2,江苏紫竹医疗科技有限公司,,,,,,,,,,,,,,2020年6月30日,2022年6月30日
11,城镇住宅用地,连云港市,赣榆区,连云港市澳瓴置业有限公司,金海东路南侧、滨海路东侧,70,挂牌,6910,,2020,2020年5月,2020年5月18日,2.9705,29705,2.2,65351,连云港市澳瓴置业有限公司,,,,,,,,,,,,,,2020年12月10日,2023年12月8日
12,教育用地,连云港市,东海县,双店中心小学建设教学综合楼项目,东海县双店镇中心小学院内,,划拨,0,,2020,2020年5月,2020年5月18日,0.4616,4616,1.2,5539.2,东海县双店中心小学,,,,,,,,,,,,,,2020年7月18日,2022年7月18日
13,机关团体用地,连云港市,东海县,东海县人民法院文化建设与法制教育中心项目,东海县晶都大道与晶苑路交汇处,,划拨,0,,2020,2020年5月,2020年5月18日,1.9623,19623,1.5,29434.5,东海县人民法院,,,,,,,,,,,,,,2020年7月18日,2022年7月18日
14,工业用地,连云港市,东海县,年破碎分拣25万吨废钢铁项目,东海县洪庄镇薛团村工业集中区牛桃路南侧,50,挂牌,233,,2020,2020年5月,2020年5月18日,1.0158,10158,0.8,8126.4,连云港维哲金属材料有限公司,,,,,,,,,,,,,,2020年8月10日,2021年8月10日
15,城镇住宅用地,连云港市,赣榆区,连云港市创联置业有限公司,怀仁路西侧、京融燃气南侧,70,挂牌,5000,,2020,2020年5月,2020年5月15日,2.1415,21415,2.5,53537.5,连云港市创联置业有限公司,,,,,,,,,,,,,,2020年12月2日,2023年11月30日
16,工业用地,连云港市,东海县,东海高新区科技创业园标准厂房工程项目,东海县高新区湖西路东侧,50,挂牌,1764,,2020,2020年5月,2020年5月15日,6.7058,67058,1.2,80469.6,东海县晶隆高新技术发展有限公司,,,,,,,,,,,,,,2020年8月28日,2022年8月27日
