编号,用途,省市,区县,宗地名称,宗地位置,出让年限,交易方式,成交价格(万元),溢价率,成交年份,成交年月,成交时间,出让面积,出让面积,容积率,建筑面积,受让单位,母公司,所属集团公司,建设单位,设计单位,施工单位,监理单位,开工时间,建设用地规划许可证,建设工程规划许可证,竣工时间,全装修要求,装配式建筑比例（%）,单体预制率,约定开工时间,约定竣工时间
11,城镇住宅用地,连云港市,赣榆区,连云港市澳瓴置业有限公司,金海东路南侧、滨海路东侧,70,挂牌,6910,,2020,2020年5月,2020年5月18日,2.9705,29705,2.2,65351,连云港市澳瓴置业有限公司,,,,,,,,,,,,,,2020年12月10日,2023年12月8日
15,城镇住宅用地,连云港市,赣榆区,连云港市创联置业有限公司,怀仁路西侧、京融燃气南侧,70,挂牌,5000,,2020,2020年5月,2020年5月15日,2.1415,21415,2.5,53537.5,连云港市创联置业有限公司,,,,,,,,,,,,,,2020年12月2日,2023年11月30日
17,城镇住宅用地,连云港市,赣榆区,连云港赣榆伟业置业有限公司,石桥镇中心小学南侧、赣柘线东侧,70,挂牌,1380,,2020,2020年5月,2020年5月7日,1.9955,19955,1.8,35919,连云港赣榆伟业置业有限公司,,,,,,,,,,,,,,2020年12月22日,2023年12月20日
20,城镇住宅用地,连云港市,东海县,汉邦别院,东海县曲阳乡徐连路西侧,70,挂牌,1900,,2020,2020年4月,2020年4月26日,3.6194,36194,1.7,61529.8,东海县汉邦置业有限公司,,,,,,,,,,,,,,2020年10月26日,2022年10月26日
27,城镇住宅用地,连云港市,东海县,DH2019-24#,东海县中华路西侧、滨河南路南侧,70,挂牌,44398,,2020,2020年4月,2020年4月15日,6.0678,60678,2.2,133491.6,徐州新城创域房地产有限公司,,,,,,,,,,,,,,2020年9月1日,2022年9月1日
28,城镇住宅用地,连云港市,赣榆区,连云港百康置业有限公司,东润华庭小区南侧、狮王路西侧,70,挂牌,16400,,2020,2020年4月,2020年4月10日,3.9915,39915,1.7,67855.5,连云港百康置业有限公司,,,,,,,,,,,,,,2020年12月29日,2023年12月28日
39,城镇住宅用地,连云港市,灌云县,连云港伊甸园旅游开发有限公司,伊山镇原204国道东侧地块,40年，70年,挂牌,1380,,2020,2020年4月,2020年4月7日,1.999,19990,2,39980,连云港伊甸园旅游开发有限公司,,,,,,,,,,,,,,2021年2月7日,2024年2月6日
53,城镇住宅用地,连云港市,海州区,LTC2020-01#,海州区海连东路南、郁洲南路西,70年，40年，40年,挂牌,40130,,2020,2020年3月,2020年3月18日,4.0382,40382,2,80764,连云港汇铭置业有限公司,,,,,,,,,,,,,,2021年5月28日,2024年5月28日
55,城镇住宅用地,连云港市,海州区,LTC2020-03#,海州区秦东门大街北、新疃路东,70,挂牌,28620,,2020,2020年3月,2020年3月18日,3.7894,37894,1.8,68209.2,连云港市万象置业有限公司,,,,,,,,,,,,,,2021年5月28日,2024年5月28日
61,城镇住宅用地,连云港市,连云区,连云港高科投资发展有限公司,开发区朝阳街道太白路东侧,70,挂牌,5950,,2020,2020年3月,2020年3月5日,3.6628,36628,1.5,54942,连云港高科投资发展有限公司,,,,,,,,,,,,,,2021年2月18日,2024年2月17日
