编号,用途,省市,区县,宗地名称,宗地位置,出让年限,交易方式,成交价格(万元),溢价率,成交年份,成交年月,成交时间,出让面积,出让面积,容积率,建筑面积,受让单位,母公司,所属集团公司,建设单位,设计单位,施工单位,监理单位,开工时间,建设用地规划许可证,建设工程规划许可证,竣工时间,全装修要求,装配式建筑比例（%）,单体预制率,约定开工时间,约定竣工时间
1,零售商业用地,连云港市,连云区,连云新城加油站项目,连云区连云新城盐城路东、秦皇岛路北,40,挂牌,9180,,2020,2020年6月,2020年6月3日,0.4163,4163,0.3,1248.9,中国石化销售股份有限公司江苏连云港石油分公司,,,,,,,,,,,,,,2021年4月3日,2023年4月2日
3,公用设施用地,连云港市,灌云县,灌云县伊甸园景区建设工程（三期）,灌云县伊山镇境内,,划拨,,,2020,2020年5月,2020年5月29日,3.1173,31173,1.2,37407.6,灌云县伊山镇人民政府,,,,,,,,,,,,,,2020年6月9日,2022年6月9日
12,教育用地,连云港市,东海县,双店中心小学建设教学综合楼项目,东海县双店镇中心小学院内,,划拨,0,,2020,2020年5月,2020年5月18日,0.4616,4616,1.2,5539.2,东海县双店中心小学,,,,,,,,,,,,,,2020年7月18日,2022年7月18日
13,机关团体用地,连云港市,东海县,东海县人民法院文化建设与法制教育中心项目,东海县晶都大道与晶苑路交汇处,,划拨,0,,2020,2020年5月,2020年5月18日,1.9623,19623,1.5,29434.5,东海县人民法院,,,,,,,,,,,,,,2020年7月18日,2022年7月18日
18,公用设施用地,连云港市,连云区,江宁工业集中区基础设施项目,江宁工业集中区金山路东南、242省道西南,,划拨,,,2020,2020年4月,2020年4月30日,5.56,55600,2,111200,连云港经济技术开发区中云街道办事处,,,,,,,,,,,,,,2020年4月30日,2021年4月30日
19,商务金融用地,连云港市,东海县,东海县供电公司洪庄供电所生产经营用房,东海县洪庄镇经五路西侧,40,挂牌,64,,2020,2020年4月,2020年4月26日,0.2667,2667,1.5,4000.5,国网江苏省电力有限公司东海县供电分公司,,,,,,,,,,,,,,2020年7月27日,2020年12月27日
21,公用设施用地,连云港市,灌云县,西部高亢地区抗旱应急提水工程一期,灌云县南岗镇境内,,划拨,,,2020,2020年4月,2020年4月20日,11.33,113300,1.2,135960,南岗镇人民政府,,,,,,,,,,,,,,2020年8月1日,2022年8月1日
22,公用设施用地,连云港市,灌云县,盐西110千伏输变电工程项目,灌云县小伊镇盐西村、后场村境内,,划拨,0,,2020,2020年4月,2020年4月20日,0.4265,4265,2,8530,国网江苏省电力有限公司连云港供电分公司,,,,,,,,,,,,,,2020年10月20日,2022年10月20日
29,公用设施用地,连云港市,灌云县,夏阳沟治理工程一期,灌云县南岗镇东园村境内,,划拨,0,,2020,2020年4月,2020年4月10日,16.0407,160407,1.2,192488.4,南岗镇人民政府,,,,,,,,,,,,,,2020年10月10日,2022年10月10日
34,公用设施用地,连云港市,东海县,东海县110千伏石梁河输变电工程项目,东海县石梁河镇张湖村,,划拨,0,,2020,2020年4月,2020年4月9日,0.4139,4139,1,4139,国网江苏省电力有限公司连云港供电分公司,,,,,,,,,,,,,,2020年6月8日,2022年6月8日
35,公用设施用地,连云港市,东海县,东海县220千伏九凤输变电工程项目,东海县曲阳乡薛埠村,,划拨,0,,2020,2020年4月,2020年4月9日,1.083,10830,1,10830,国网江苏省电力有限公司连云港供电分公司,,,,,,,,,,,,,,2020年6月8日,2022年6月8日
36,教育用地,连云港市,东海县,新建石榴街道西榴小学项目,石榴街道西榴村南侧,,划拨,0,,2020,2020年4月,2020年4月8日,2.5085,25085,0.8,20068,东海县石榴街道中心小学,,,,,,,,,,,,,,2020年4月8日,2021年4月8日
37,教育用地,连云港市,东海县,东海县中等专业学校该扩建项目,东海县滨河南路南侧,,划拨,0,,2020,2020年4月,2020年4月8日,6.5117,65117,0.9,58605.3,江苏省东海中等专业学校,,,,,,,,,,,,,,2020年6月30日,2022年6月30日
38,公用设施用地,连云港市,东海县,东海县110千伏汤庄输变电工程项目,东海县245省道东侧,,划拨,0,,2020,2020年4月,2020年4月8日,0.3075,3075,1,3075,国网江苏省电力有限公司连云港供电分公司,,,,,,,,,,,,,,2020年6月8日,2022年6月8日
