编号,用途,省市,区县,宗地名称,宗地位置,出让年限,交易方式,成交价格(万元),溢价率,成交年份,成交年月,成交时间,出让面积,出让面积,容积率,建筑面积,受让单位,母公司,所属集团公司,建设单位,设计单位,施工单位,监理单位,开工时间,建设用地规划许可证,建设工程规划许可证,竣工时间,全装修要求,装配式建筑比例（%）,单体预制率,约定开工时间,约定竣工时间
5,工业用地,连云港市,灌南县,产业大道北侧地块,堆沟港镇十队村,30,挂牌,2138.4,,2020,2020年5月,2020年5月27日,12.2891,122891,1.2,147469.2,连云港兴鑫钢铁有限公司,,,,,,,,,,,,,,2020年11月26日,2022年11月26日
6,工业用地,连云港市,东海县,工业化装配式混凝土预制构件一期工程项目,东海开发区黄河路南侧、新二四五省道西侧,50,挂牌,2404,,2020,2020年5月,2020年5月26日,7.6322,76322,1,76322,连云港中砼新型建筑科技有限公司,,,,,,,,,,,,,,2020年6月26日,2021年6月25日
7,工业用地,连云港市,赣榆区,连云港锦艺新材料科技有限公司,厉庄镇厉庄村,50,挂牌,255,,2020,2020年5月,2020年5月19日,0.9766,9766,0.8,7812.8,连云港锦艺新材料科技有限公司,,,,,,,,,,,,,,2020年6月30日,2022年6月30日
8,工业用地,连云港市,赣榆区,连云港中汇矿业有限公司,柘汪临港产业区,50,挂牌,846,,2020,2020年5月,2020年5月19日,3.3428,33428,0.7,23399.6,连云港中汇矿业有限公司,,,,,,,,,,,,,,2020年6月30日,2022年6月30日
9,工业用地,连云港市,赣榆区,连云港德旺斯电子科技有限公司,厉庄镇翔凤岭村,50,挂牌,577,,2020,2020年5月,2020年5月19日,2.3215,23215,0.8,18572,连云港德旺斯电子科技有限公司,,,,,,,,,,,,,,2020年6月30日,2022年6月30日
10,工业用地,连云港市,赣榆区,江苏紫竹医疗科技有限公司,厉庄镇翔凤岭村,50,挂牌,555,,2020,2020年5月,2020年5月19日,2.3409,23409,0.8,18727.2,江苏紫竹医疗科技有限公司,,,,,,,,,,,,,,2020年6月30日,2022年6月30日
14,工业用地,连云港市,东海县,年破碎分拣25万吨废钢铁项目,东海县洪庄镇薛团村工业集中区牛桃路南侧,50,挂牌,233,,2020,2020年5月,2020年5月18日,1.0158,10158,0.8,8126.4,连云港维哲金属材料有限公司,,,,,,,,,,,,,,2020年8月10日,2021年8月10日
16,工业用地,连云港市,东海县,东海高新区科技创业园标准厂房工程项目,东海县高新区湖西路东侧,50,挂牌,1764,,2020,2020年5月,2020年5月15日,6.7058,67058,1.2,80469.6,东海县晶隆高新技术发展有限公司,,,,,,,,,,,,,,2020年8月28日,2022年8月27日
23,工业用地,连云港市,连云区,年产4000万平方米超高水氧阻隔功能膜项目（韩亚新材料科技（江苏）有限公司）,开发区开泰路北、云桥路东侧,50,挂牌,1136,,2020,2020年4月,2020年4月16日,4.7292,47292,2,94584,韩亚新材料科技（江苏）有限公司,,,,,,,,,,,,,,2020年11月14日,2022年11月13日
24,仓储用地,连云港市,连云区,连云港石化基地公共罐区二期,连云区陬山路南、复堆河西,50,挂牌,3200,,2020,2020年4月,2020年4月15日,14.7429,147429,0.7,103200.3,连云港石化产业园有限公司,,,,,,,,,,,,,,2020年11月16日,2022年11月15日
25,工业用地,连云港市,灌南县,健坤木业东侧地块,新安镇管庄村,50,挂牌,830.8224,,2020,2020年4月,2020年4月15日,8.6544,86544,1.2,103852.8,江苏刚钜物流器械有限公司,,,,,,,,,,,,,,2021年2月20日,2023年2月19日
26,工业用地,连云港市,东海县,年产60万套钢制车轮项目,东海开发区淮河路南侧、庐山路西侧,50,挂牌,637.2,,2020,2020年4月,2020年4月15日,2.0227,20227,1,20227,连云港华鼎车轮有限公司,,,,,,,,,,,,,,2020年4月13日,2021年6月8日
45,工业用地,连云港市,东海县,年产20万套汽车零部件项目,东海县石梁河镇南辰乡横山大道东侧,50,挂牌,445.5,,2020,2020年3月,2020年3月27日,2.1317,21317,0.8,17053.6,连云港钰泰机械有限公司,,,,,,,,,,,,,,2020年4月27日,2022年4月27日
46,工业用地,连云港市,东海县,年产15000吨玻璃钢制品一期项目,东海县石梁河镇南辰乡,50,挂牌,413.2,,2020,2020年3月,2020年3月27日,1.9866,19866,0.8,15892.8,连云港明锦复合材料有限公司,,,,,,,,,,,,,,2020年6月1日,2022年6月1日
49,工业用地,连云港市,东海县,年产200吨半导体用石英玻璃制品,东海县幸福南路东侧、晶瑞达石英制品公司南侧,50,挂牌,357,,2020,2020年3月,2020年3月19日,1.3126,13126,1,13126,东海县晶瑞达石英制品有限公司,,,,,,,,,,,,,,2020年6月28日,2022年6月28日
56,工业用地,连云港市,灌南县,牧原农牧东侧地块,新安镇公兴村,30,挂牌,436.64,,2020,2020年3月,2020年3月13日,2.413,24130,1.2,28956,灌南温氏食品有限公司,,,,,,,,,,,,,,2020年9月13日,2022年9月13日
57,工业用地,连云港市,灌南县,太仓路东侧地块,新安镇郝圩村,30,挂牌,1290.2,,2020,2020年3月,2020年3月13日,7.4149,74149,1.2,88978.8,灌南温氏食品有限公司,,,,,,,,,,,,,,2020年9月13日,2022年9月13日
