行政区,项目名称,项目位置,面积(公顷),土地用途,供地方式,土地使用年限,行业分类,成交价格(万元),土地使用权人,约定容积率,合同签订日期,约定开工时间,约定竣工时间,,
磐安县,磐安云山省级旅游度假区蛤蟆山脚地块（一期）,磐安云山省级旅游度假区蛤蟆山脚地块（一期）,1.7068,旅馆用地,拍卖出让,40,住宿业,1589.0308,浙江磐安云天旅业有限公司/?,1.30/2.00,2020年6月23日,2020年12月23日,2023年6月23日,,
永康市,永康市花街镇黄园区块小微企业园14#厂房,永康市花街镇黄园区块小微企业园14#,0.231343,工业用地,拍卖出让,50,金属制品业,1390.3714,永康市宝正电机有限公司/?,4.40/4.40,2020年6月23日,2021年3月2日,2023年3月2日,,
永康市,永康市花街镇黄园区块小微企业园12#厂房,永康市花街镇黄园区块小微企业园12#,0.204356,工业用地,拍卖出让,50,金属制品业,1399.8386,沈美君/?,4.40/4.40,2020年6月23日,2021年3月2日,2023年3月2日,,
武义县,群山水库以北4-1号待出让地块,群山水库以北,0.4887,工业用地,挂牌出让,50,专用设备制造业,320,浙江天泰机械有限公司/?,1.00/2.50,2020年6月22日,2021年9月14日,2023年9月14日,,
武义县,武义县新材料产业园1-2号待出让地块,武义县胡处工业功能区,3.5841,工业用地,挂牌出让,50,化学原料及化学制品制造业,2340,浙江三美氟原料有限公司/?,1.00/,2020年6月22日,2021年9月11日,2023年9月11日,,
武义县,莹乡路西侧西畈待出让地块,莹乡路西侧西畈,3.453,工业用地,挂牌出让,50,农副食品加工业,2198,武义创新食用菌有限公司/?,1.00/2.50,2020年6月22日,2021年9月11日,2023年9月11日,,
义乌市,义乌市浙石油综合能源销售有限公司(苏溪镇苏兴路与阳光大道交叉口西北侧地块),苏溪镇，苏兴路与阳光大道交叉口西北侧,0.204791,零售商业用地,挂牌出让,40,零售业,9213,义乌市浙石油综合能源销售有限公司/?,/0.50,2020年6月22日,2021年7月21日,2023年7月20日,,
武义县,川北路西侧待出让用地,川北路西侧,2.0168,商务金融用地,挂牌出让,40,银行业,5265,浙江武义农村商业银行股份有限公司/?,1.50/2.00,2020年6月22日,2021年9月11日,2023年9月11日,,
义乌市,起航路（机场路-宗泽路）市政工程,后宅街道,1.1398,公路用地,划拨,,道路运输业,,/义乌市城市投资建设集团有限公司,/,2020年6月19日,2021年6月19日,2023年6月19日,,
义乌市,口腔医院迁建工程,北苑街道,0.539212,医疗卫生用地,划拨,,公共设施管理业,,/义乌市口腔医院,1.70/2.10,2020年6月19日,2021年6月19日,2023年6月19日,,
义乌市,绣湖小学春华校区扩建工程,北苑街道,0.418428,教育用地,划拨,,教育业,,/义乌市绣湖小学春华校区扩建工程筹建领导小组,1.00/1.20,2020年6月19日,2021年6月19日,2023年6月19日,,
浦江县,东方蓝郡以南地块B区块,长乐路以东、珠园路以北、蒋义公路以西,1.8289,城镇住宅用地,挂牌出让,70,房地产业,13808.195,南通亚伦房地产开发有限公司/?,1.20/1.50,2020年6月19日,2021年1月19日,2023年1月19日,,
义乌市,宁波市梅山美的房地产发展有限公司(义乌经济技术开发区江湾有机更新区块4号地块),稠江街道，五洲大道和富港大道交叉口东侧,6.350183,城镇住宅用地,挂牌出让,70,房地产业,44766.6,宁波市梅山美的房地产发展有限公司/?,2.70/2.90,2020年6月18日,2021年7月27日,2023年7月26日,,
义乌市,绍兴金玉企业管理咨询有限公司(义乌经济技术开发区江湾有机更新区块3号地块),稠江街道，东至江湾路；南至香溪；西至五洲大道；北至永贸路,7.576559,城镇住宅用地,挂牌出让,70,房地产业,200438,绍兴金玉企业管理咨询有限公司/?,2.00/2.15,2020年6月18日,2021年7月27日,2023年7月26日,,
义乌市,义乌市交通旅游开发有限公司(大陈镇八楂公路东侧B地块),大陈镇，苏八线东侧,0.330995,旅馆用地,挂牌出让,40,住宿业,427,义乌市交通旅游开发有限公司/?,1.30/1.40,2020年6月18日,2021年8月1日,2023年7月31日,,
义乌市,义乌中国小商品城房地产开发有限公司(佛堂镇东王区块朝阳路北侧地块),佛堂镇，东至大成路，南至朝阳路，西至建设路，北至文化东路,2.0906,城镇住宅用地,挂牌出让,70,房地产业,42070,义乌中国小商品城房地产开发有限公司/?,1.50/1.60,2020年6月18日,2021年7月24日,2023年7月23日,,
义乌市,义乌中国小商品城房地产开发有限公司(佛堂镇东王区块朝阳路南侧地块),佛堂镇，东至大成路，南至规划道路，西至建设路，北至朝阳路,2.2721,城镇住宅用地,挂牌出让,70,房地产业,46600,义乌中国小商品城房地产开发有限公司/?,1.70/1.90,2020年6月18日,2021年7月24日,2023年7月23日,,
